SGTime,UnixTime,ST
0.828857183456421,1636353444.69041,30.43
2.07891726493835,1636353445.94047,30.45
2.32892727851868,1636353446.19048,30.45
2.578937292099,1636353446.44049,30.45
2.82894730567932,1636353446.6905,30.45
4.32901740074158,1636353448.19057,30.47
4.57902717590332,1636353448.44058,30.47
4.82903718948364,1636353448.69059,30.47
5.07904720306396,1636353448.9406,30.47
5.32906723022461,1636353449.19062,30.47
5.57907724380493,1636353449.44063,30.47
5.82908725738525,1636353449.69064,30.47
6.07909727096558,1636353449.94065,30.47
6.3291072845459,1636353450.19066,30.47
6.57911729812622,1636353450.44067,30.47
6.82913732528687,1636353450.69069,30.47
7.07914733886719,1636353450.9407,30.47
7.32915735244751,1636353451.19071,30.47
7.57916736602783,1636353451.44072,30.47
7.82917737960815,1636353451.69073,30.47
8.07918739318848,1636353451.94074,30.47
8.32920718193054,1636353452.19076,30.47
8.57921719551086,1636353452.44077,30.47
8.82922720909119,1636353452.69078,30.47
9.07923722267151,1636353452.94079,30.51
9.32924723625183,1636353453.1908,30.51
9.57925724983215,1636353453.44081,30.51
9.82926726341248,1636353453.69082,30.51
10.0792872905731,1636353453.94084,30.51
10.3292973041534,1636353454.19085,30.51
10.5793073177338,1636353454.44086,30.51
10.8293173313141,1636353454.69087,30.51
11.0793273448944,1636353454.94088,30.49
11.3293373584747,1636353455.19089,30.49
11.5793573856354,1636353455.44091,30.49
11.8293673992157,1636353455.69092,30.49
12.0793771743774,1636353455.94093,30.49
12.3293871879578,1636353456.19094,30.49
12.5793972015381,1636353456.44095,30.49
12.8294072151184,1636353456.69096,30.49
13.0794272422791,1636353456.94098,30.51
13.3294372558594,1636353457.19099,30.51
13.5794472694397,1636353457.441,30.51
13.82945728302,1636353457.69101,30.51
14.0794672966003,1636353457.94102,30.51
14.3294773101807,1636353458.19103,30.51
14.579487323761,1636353458.44104,30.51
14.8295073509216,1636353458.69106,30.51
15.079517364502,1636353458.94107,30.51
15.3295273780823,1636353459.19108,30.51
15.5795373916626,1636353459.44109,30.51
15.8295471668243,1636353459.6911,30.51
16.0795571804047,1636353459.94111,30.53
16.3295772075653,1636353460.19113,30.53
16.5795872211456,1636353460.44114,30.53
16.829597234726,1636353460.69115,30.53
17.0796072483063,1636353460.94116,30.55
17.3296172618866,1636353461.19117,30.55
17.5796272754669,1636353461.44118,30.55
17.8296473026276,1636353461.6912,30.55
18.0796573162079,1636353461.94121,30.55
18.3296673297882,1636353462.19122,30.55
18.5796773433685,1636353462.44123,30.55
18.8296873569489,1636353462.69124,30.55
19.0796973705292,1636353462.94125,30.53
19.3297073841095,1636353463.19126,30.53
19.5797271728516,1636353463.44128,30.53
19.8297371864319,1636353463.69129,30.53
20.0797472000122,1636353463.9413,30.55
20.3297572135925,1636353464.19131,30.55
20.5797672271729,1636353464.44132,30.55
20.8297772407532,1636353464.69133,30.55
21.0797972679138,1636353464.94135,30.53
21.3298072814941,1636353465.19136,30.53
21.5798172950745,1636353465.44137,30.53
21.8298273086548,1636353465.69138,30.53
22.0798373222351,1636353465.94139,30.55
22.3298473358154,1636353466.1914,30.55
22.5798673629761,1636353466.44142,30.55
22.8298773765564,1636353466.69143,30.55
23.0798873901367,1636353466.94144,30.57
23.329897403717,1636353467.19145,30.57
23.5799071788788,1636353467.44146,30.57
23.8299171924591,1636353467.69147,30.57
24.0799272060394,1636353467.94148,30.55
24.3299472332001,1636353468.1915,30.55
24.5799572467804,1636353468.44151,30.55
24.8299672603607,1636353468.69152,30.55
25.079977273941,1636353468.94153,30.55
25.3299872875214,1636353469.19154,30.55
25.5799973011017,1636353469.44155,30.55
25.8300173282623,1636353469.69157,30.55
26.0800273418427,1636353469.94158,30.57
26.330037355423,1636353470.19159,30.57
26.5800473690033,1636353470.4416,30.57
26.8300573825836,1636353470.69161,30.57
28.080117225647,1636353471.94167,30.55
28.3301272392273,1636353472.19168,30.55
28.5801372528076,1636353472.44169,30.55
28.8301472663879,1636353472.6917,30.55
29.0801672935486,1636353472.94172,30.57
29.3301773071289,1636353473.19173,30.57
29.5801873207092,1636353473.44174,30.57
29.8301973342896,1636353473.69175,30.57
30.0802073478699,1636353473.94176,30.59
30.3302173614502,1636353474.19177,30.59
30.5802373886108,1636353474.44179,30.59
30.8302474021912,1636353474.6918,30.59
31.0802571773529,1636353474.94181,30.57
31.3302671909332,1636353475.19182,30.57
31.5802772045136,1636353475.44183,30.57
31.8302872180939,1636353475.69184,30.57
32.0803072452545,1636353475.94186,30.57
32.3303172588348,1636353476.19187,30.57
32.5803272724152,1636353476.44188,30.57
32.8303372859955,1636353476.69189,30.57
34.0803973674774,1636353477.94195,30.59
34.3304073810577,1636353478.19196,30.59
34.5804173946381,1636353478.44197,30.59
34.8304271697998,1636353478.69198,30.59
35.0804371833801,1636353478.94199,30.61
35.3304572105408,1636353479.19201,30.61
35.5804672241211,1636353479.44202,30.61
35.8304772377014,1636353479.69203,30.61
36.0804872512817,1636353479.94204,30.61
36.3304972648621,1636353480.19205,30.61
36.5805072784424,1636353480.44206,30.61
36.830527305603,1636353480.69208,30.61
37.8305673599243,1636353481.69212,30.63
38.0805773735046,1636353481.94213,30.63
38.330587387085,1636353482.19214,30.63
38.580607175827,1636353482.44216,30.63
38.8306171894073,1636353482.69217,30.63
39.0806272029877,1636353482.94218,30.63
39.330637216568,1636353483.19219,30.63
39.5806472301483,1636353483.4422,30.63
39.8306572437286,1636353483.69221,30.63
40.0806772708893,1636353483.94223,30.63
40.3306872844696,1636353484.19224,30.63
40.5806972980499,1636353484.44225,30.63
40.8307073116302,1636353484.69226,30.63
42.0807673931122,1636353485.94232,30.65
42.3307771682739,1636353486.19233,30.65
42.5807871818542,1636353486.44234,30.65
42.8307971954346,1636353486.69235,30.65
43.0808072090149,1636353486.94236,30.63
43.3308272361755,1636353487.19238,30.63
43.5808372497559,1636353487.44239,30.63
43.8308472633362,1636353487.6924,30.63
44.0808572769165,1636353487.94241,30.63
44.3308672904968,1636353488.19242,30.63
44.5808773040771,1636353488.44243,30.63
44.8308973312378,1636353488.69245,30.63
46.0809473991394,1636353489.9425,30.65
46.3309571743011,1636353490.19251,30.65
46.5809772014618,1636353490.44253,30.65
46.8309872150421,1636353490.69254,30.65
48.081047296524,1636353491.9426,30.65
48.3310573101044,1636353492.19261,30.65
48.5810673236847,1636353492.44262,30.65
48.831077337265,1636353492.69263,30.65
49.0810873508453,1636353492.94264,30.67
49.3310973644257,1636353493.19265,30.67
49.5811173915863,1636353493.44267,30.67
49.831127166748,1636353493.69268,30.67
50.0811371803284,1636353493.94269,30.65
50.3311471939087,1636353494.1927,30.65
50.581157207489,1636353494.44271,30.65
50.8311672210693,1636353494.69272,30.65
52.0812273025513,1636353495.94278,30.69
52.3312373161316,1636353496.19279,30.69
52.5812473297119,1636353496.4428,30.69
52.8312673568726,1636353496.69282,30.69
54.0813171863556,1636353497.94287,30.69
54.3313372135162,1636353498.19289,30.69
54.5813472270966,1636353498.4429,30.69
54.8313572406769,1636353498.69291,30.69
