feature,importance
session_elapsed_min_seconds,0.13459096559500427
session_elapsed_total_seconds,0.06707234220640844
session_elapsed_mean_seconds,0.06366612404761271
gaze_count,0.052276860053951484
gaze_max,0.04609196385357732
session_elapsed_std_seconds,0.04377312955210569
reported_time_spent_seconds,0.04205134073858977
gaze_mean,0.038527985925588995
session_elapsed_nonzero_count,0.036502037716520296
session_elapsed_count,0.035441653028158375
session_elapsed_max_seconds,0.03531624582514552
gaze_active_ratio,0.034860386184330086
intervention_row_count,0.027642490815010797
Acc_SVM_std,0.025139587760982164
Acc_SVM_var,0.02168904187223207
Gaze_mean,0.019871589245747206
Acc_Y_motion_energy,0.019187523538878894
Acc_SVM_mean,0.018248933448135652
Acc_SVM_motion_energy,0.01815692012419789
Acc_Z_min,0.017484327478149153
Gaze_max,0.015439678337944403
gaze_transition_count,0.015137497277586716
Acc_X_motion_energy,0.01322265538211542
gaze_var,0.012718998339548003
gaze_motion_energy,0.012480056271797567
Acc_X_std,0.009901992406962004
gaze_std,0.009361877593057342
gaze_peak_count,0.008179541295224857
Acc_Y_var,0.00806217657954761
Acc_X_var,0.006923857003248806
Acc_Z_mean,0.006866575043867407
Acc_Y_std,0.0066185207718444106
Acc_Z_motion_energy,0.006345905239170235
Acc_Y_max,0.006301914204752591
Acc_SVM_max,0.006120629472803035
Temperature_mean,0.005113987855916685
Temperature_std,0.004194110967426053
Temperature_var,0.004013509055841357
Temperature_min,0.003953748042610311
Temperature_max,0.0037804621531865434
Acc_Z_var,0.0031683498952556504
GSR_std,0.002736635448674113
GSR_min,0.002563649162928764
GSR_mean,0.0025471606843562914
intervention_numeric_time_std,0.002431529347667011
intervention_numeric_time_count,0.002008093067791797
intervention_discrete_count,0.0017983934363261867
GSR_max,0.0017105525567689783
intervention_numeric_time_max,0.001677256489130774
Acc_Z_std,0.001472768711525836
intervention_numeric_time_min,0.0013249294901903517
GSR_var,0.0012953444504903062
intervention_numeric_time_mean,0.0011018672899799394
GSR_motion_energy,0.001019716927398192
Acc_Y_mean,0.0009973663510480252
Gaze_std,0.0009242033875743258
Acc_X_min,0.000840116389031586
Temperature_motion_energy,0.0007325154473085343
Acc_Y_min,0.0007198689055651688
Gaze_var,0.000715393931731169
Acc_SVM_min,0.0006721422115796659
Acc_X_mean,0.0006117805980802094
Acc_X_max,0.0005627758669190445
Gaze_min,0.0005056028225399746
gaze_min,0.0004937791801929469
Acc_Z_max,0.0004797934142953679
GSR_peak_count,0.0003735361784195459
intervention_no_need_count,0.0003550137709276379
Acc_Y_peak_count,0.00034323956957183936
Acc_SVM_peak_count,0.0003311287544529441
Temperature_peak_count,0.0003163491419232988
Gaze_motion_energy,0.00030431152222133197
Acc_X_peak_count,0.0002903744846164963
Acc_Z_peak_count,0.00019012659140637403
Gaze_peak_count,5.5192217332273945e-05
