SGTime,Performance
52.57289,1
52.7492,1
52.92492,1
53.10002,1
53.27674,1
53.45366,1
53.63021,1
53.80663,1
53.98246,1
54.16239,1
54.34004,1
54.51942,1
54.69613,1
54.87762,1
55.05478,1
55.23679,1
55.41265,1
55.59517,1
55.77393,1
55.95553,1
56.13729,1
56.32045,1
56.50245,1
56.68422,1
56.86578,1
57.04611,1
57.25121,1
57.43568,1
57.61205,1
57.79428,1
57.97934,1
58.16363,1
58.34709,1
58.53043,1
58.70331,1
58.87696,1
59.05112,1
59.2277,1
59.40572,1
59.58132,1
59.75619,1
59.93439,1
60.11004,1
60.28826,1
60.46777,1
60.64534,1
60.82293,1
60.99966,1
61.17887,1
61.35609,1
61.53601,1
61.71505,1
61.89492,1
62.07262,1
62.25267,1
62.4368,1
62.61944,1
62.80326,1
62.98526,1
63.16909,1
63.35466,1
63.55935,1
63.74007,1
63.9213,1
64.10331,1
64.28664,1
64.47305,1
64.65717,1
64.84926,1
65.0439,1
65.24167,1
65.43841,1
65.6355,1
65.83154,1
66.02703,1
66.21963,1
66.41273,1
66.60869,1
66.80887,1
67.01054,1
67.2075,1
67.40279,1
67.59972,1
67.79859,1
67.99649,1
68.19225,1
68.39572,1
68.60208,1
68.81232,1
69.01999,1
69.23145,1
69.43712,1
69.64517,1
69.85389,1
70.06566,1
70.30405,1
70.51686,1
70.72712,1
70.94067,1
71.15036,1
71.36186,1
71.57179,1
71.78047,1
71.99562,1
72.20702,1
72.41786,1
72.63133,1
72.84204,1
73.05611,1
73.26563,1
73.47646,1
73.69047,1
73.90682,1
74.12051,1
74.32908,1
74.54141,1
74.75549,1
74.96889,1
75.18399,1
75.39947,1
75.61607,1
75.82922,1
76.04387,1
76.25253,1
76.45837,1
76.66584,1
76.86827,1
77.0733,1
77.27927,1
77.50587,1
77.71342,1
77.91913,1
78.12594,1
78.33294,1
78.54106,1
78.75397,1
78.95995,1
79.16658,1
79.37077,1
79.57849,1
79.78829,1
79.99394,1
80.20391,1
80.41711,1
80.62883,1
80.83623,1
81.04526,1
81.25359,1
81.4621,1
81.67105,1
81.88197,1
82.09084,1
82.30097,1
82.513,1
82.72514,1
82.93836,1
83.15633,1
83.37318,1
83.59531,1
83.81087,1
84.02735,1
84.24586,1
84.46601,1
84.71048,1
84.92884,1
85.14689,1
85.36404,1
85.57901,1
85.79826,1
86.01659,1
86.23431,1
86.45398,1
86.67571,1
86.89678,1
87.11829,1
87.33492,1
87.55645,1
87.77254,1
87.99174,1
88.21037,1
88.43452,1
88.66624,1
88.8892,1
89.11127,1
89.33369,1
89.55519,1
89.77541,1
89.99776,1
90.21971,1
90.44347,1
90.67447,1
90.90299,1
91.14418,1
91.38683,1
91.62109,1
91.85911,1
92.0984,1
92.34907,1
92.62391,1
92.86766,1
93.11695,1
93.35631,1
93.59422,1
93.82916,1
94.07014,1
94.31502,1
94.57036,1
94.8171,1
95.07671,1
95.33179,1
95.58293,1
95.82719,1
96.06786,1
96.31346,1
96.55689,1
96.79574,1
97.02743,1
97.28141,1
97.52837,1
97.76916,1
98.00415,1
98.23714,1
98.47427,1
98.7149,1
98.94952,1
99.18688,1
99.42496,1
99.66699,1
99.90446,1
100.1446,1
100.3841,1
100.6576,1
100.895,1
101.1394,1
101.3823,1
101.6274,1
101.8668,1
102.1062,1
102.3442,1
102.5943,1
102.8386,1
103.0825,1
103.3261,1
103.5679,1
103.8076,1
104.0509,1
104.294,1
104.5393,1
104.7822,1
105.0281,1
105.2757,1
105.5202,1
105.7649,1
106.0126,1
106.2603,1
106.5091,1
106.7606,1
107.0061,1
107.2544,1
107.5159,1
107.7733,1
108.0325,1
108.2943,1
108.5641,1
108.8273,1
109.1341,1
109.4055,1
109.6694,1
109.9355,1
110.2014,1
110.4716,1
110.7534,1
111.0217,1
111.294,1
111.5632,1
111.8284,1
112.0941,1
112.3659,1
112.6376,1
112.9105,1
113.1777,1
113.4507,1
113.7203,1
113.9895,1
114.2499,1
114.5107,1
114.774,1
115.0332,1
115.291,1
115.5538,1
115.8172,1
116.0786,1
116.3415,1
116.6064,1
116.8706,1
117.1331,1
117.3967,1
117.6607,1
117.9505,1
118.2145,1
118.478,1
118.7495,1
119.0123,1
119.2801,1
119.5461,1
119.8141,1
120.0823,1
120.3509,1
120.6178,1
120.8864,1
121.1523,1
121.4195,1
121.6853,1
121.9545,1
122.2286,1
122.5129,1
122.7913,1
123.0712,1
123.3559,1
123.6535,1
123.9356,1
124.2241,1
124.5107,1
124.8043,1
125.0893,1
125.3822,1
125.6675,1
125.9607,1
126.2575,1
126.5471,1
126.8231,1
127.1267,1
127.4031,1
127.6873,1
127.9738,1
128.256,1
128.5364,1
128.8228,1
129.1035,1
129.3845,1
129.662,1
129.9396,1
130.2154,1
130.4961,1
130.7808,1
131.065,1
131.3455,1
131.6297,1
131.9116,1
132.1946,1
132.4825,1
132.7745,1
133.0571,1
133.3416,1
133.6272,1
133.917,1
134.2038,1
134.4946,1
134.7877,1
135.0728,1
135.3666,1
135.6703,1
135.9715,1
136.2851,1
136.5952,1
136.9397,1
137.2419,1
137.554,1
137.8581,1
138.1664,1
138.4775,1
138.7957,1
139.1058,1
139.4205,1
139.734,1
140.0345,1
140.338,1
140.6504,1
140.9632,1
141.2748,1
141.5758,1
141.8882,1
142.2,1
142.5159,1
142.8337,1
143.1506,1
143.4638,1
143.7775,1
144.0919,1
144.4074,1
144.7142,1
145.0289,1
145.3406,1
145.656,1
145.9705,1
146.2892,1
146.6109,1
146.9598,1
147.2751,1
147.5873,1
147.892,1
148.2001,1
148.5079,1
148.8285,1
149.1345,1
149.4459,1
149.7541,1
150.0673,1
150.3803,1
150.6965,1
151.0131,1
151.3416,1
151.6705,1
152.0023,1
152.3291,1
152.6679,1
153.0028,1
153.3419,1
153.6798,1
154.0258,1
154.3635,1
154.6997,1
155.0343,1
155.366,1
155.6946,1
156.0222,1
156.3433,1
156.6672,1
156.9924,1
157.3398,1
157.6621,1
157.9852,1
158.3086,1
158.6335,1
158.9583,1
159.2837,1
159.6042,1
159.928,1
160.2487,1
160.5739,1
160.9,1
161.2271,1
161.5506,1
161.8769,1
162.198,1
162.5229,1
162.8498,1
163.1764,1
163.5061,1
163.8383,1
164.1618,1
164.5006,1
164.8443,1
165.1924,1
165.5337,1
165.8876,1
166.2327,1
166.583,1
166.9398,1
167.2868,1
167.6358,1
167.9915,1
168.3731,1
168.7311,1
169.0789,1
169.4385,1
169.7899,1
170.1398,1
170.4815,1
170.8287,1
171.1655,1
171.5036,1
171.8362,1
172.1771,1
172.5162,1
172.8603,1
173.1963,1
173.5371,1
173.8763,1
174.2204,1
174.5618,1
174.9244,1
175.2674,1
175.6141,1
175.9596,1
176.3029,1
176.6483,1
176.9969,1
