SGTime,UnixTime,ST
0.177590131759644,1637820255.26864,32.47
0.427600145339966,1637820255.51865,32.47
0.677610158920288,1637820255.76866,32.47
0.92762017250061,1637820256.01867,32.47
2.42769002914429,1637820257.51874,32.17
2.67770004272461,1637820257.76875,32.17
2.92771005630493,1637820258.01876,32.17
4.17777013778687,1637820259.26882,32.43
4.42778015136719,1637820259.51883,32.43
4.67780017852783,1637820259.76885,32.43
4.92781019210815,1637820260.01886,32.43
6.17786002159119,1637820261.26891,32.45
6.42788004875183,1637820261.51893,32.45
6.67789006233215,1637820261.76894,32.45
6.92790007591248,1637820262.01895,32.45
7.92795014381409,1637820263.019,32.43
8.17796015739441,1637820263.26901,32.49
8.42797017097473,1637820263.51902,32.49
8.67798018455505,1637820263.76903,32.49
8.92799019813538,1637820264.01904,32.49
9.17799997329712,1637820264.26905,32.51
9.42802000045776,1637820264.51907,32.51
9.67803001403809,1637820264.76908,32.51
9.92804002761841,1637820265.01909,32.51
10.1780500411987,1637820265.2691,32.51
10.4280600547791,1637820265.51911,32.51
10.6780700683594,1637820265.76912,32.51
10.9280800819397,1637820266.01913,32.51
12.1781401634216,1637820267.26919,32.47
12.428150177002,1637820267.5192,32.47
12.6781702041626,1637820267.76922,32.47
12.9281799793243,1637820268.01923,32.47
14.178230047226,1637820269.26928,32.49
14.4282500743866,1637820269.5193,32.49
14.6782600879669,1637820269.76931,32.49
14.9282701015472,1637820270.01932,32.49
15.9283201694489,1637820271.01937,32.53
16.1783301830292,1637820271.26938,32.61
16.4283401966095,1637820271.51939,32.61
16.6783499717712,1637820271.7694,32.61
16.9283599853516,1637820272.01941,32.61
18.1784200668335,1637820273.26947,32.65
18.4284300804138,1637820273.51948,32.65
18.6784400939941,1637820273.76949,32.65
18.9284601211548,1637820274.01951,32.65
20.4285202026367,1637820275.51957,32.69
20.6785399913788,1637820275.76959,32.69
20.9285500049591,1637820276.0196,32.69
22.4286201000214,1637820277.51967,32.71
22.6786301136017,1637820277.76968,32.71
22.928640127182,1637820278.01969,32.71
23.1786501407623,1637820278.2697,32.71
23.4286601543427,1637820278.51971,32.71
23.678670167923,1637820278.76972,32.71
23.9286901950836,1637820279.01974,32.71
24.1787002086639,1637820279.26975,32.73
24.4287099838257,1637820279.51976,32.73
24.678719997406,1637820279.76977,32.73
24.9287300109863,1637820280.01978,32.73
26.4288001060486,1637820281.51985,32.75
26.6788101196289,1637820281.76986,32.75
26.9288301467896,1637820282.01988,32.75
28.1788799762726,1637820283.26993,32.69
28.4288899898529,1637820283.51994,32.69
28.6789100170136,1637820283.76996,32.69
28.9289200305939,1637820284.01997,32.69
30.9290101528168,1637820286.02006,32.69
31.1790201663971,1637820286.27007,32.69
31.4290301799774,1637820286.52008,32.69
31.6790502071381,1637820286.7701,32.69
31.9290599822998,1637820287.02011,32.69
32.1790699958801,1637820287.27012,32.71
32.4290800094604,1637820287.52013,32.71
