SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
0.555224895,1632546213,-16,65,0,66.94027188
0.586474895,1632546213,-12,63,-2,64.16385275
0.617724895,1632546213,-10,64,-3,64.84597135
0.648974895,1632546213,-9,65,-3,65.6886596
0.680224895,1632546213,-15,63,2,64.79197481
0.711474895,1632546213,-11,62,5,63.16644679
0.867734909,1632546213,-3,69,4,69.18092223
0.898984909,1632546213,-2,63,-8,63.53739057
1.055244923,1632546214,-3,61,-11,62.05642594
1.086494923,1632546214,2,62,-8,62.54598308
1.117744923,1632546214,3,64,-6,64.35060217
1.148994923,1632546214,-1,63,-3,63.07931515
1.180254936,1632546214,-1,64,-2,64.03905059
1.211504936,1632546214,0,64,-1,64.00781202
1.242754936,1632546214,0,64,-2,64.03124237
1.274004936,1632546214,0,64,-3,64.07027392
1.43026495,1632546214,-2,62,-3,62.10475022
1.46151495,1632546214,-3,62,-3,62.14499175
1.586524963,1632546214,-9,62,1,62.65780079
1.617774963,1632546214,-9,60,2,60.70420084
1.649024963,1632546214,-8,60,2,60.56401572
1.680274963,1632546214,-7,61,2,61.43289021
1.711524963,1632546214,-6,65,2,65.30696747
1.742774963,1632546214,-6,68,3,68.33008122
1.774024963,1632546214,-7,70,3,70.41306697
1.805284977,1632546214,-8,67,5,67.6609193
1.836534977,1632546214,-9,64,5,64.82283548
1.992784977,1632546214,-10,63,1,63.79655163
2.024044991,1632546215,-10,63,2,63.82005954
2.180294991,1632546215,-9,66,1,66.6183158
2.211544991,1632546215,-8,64,2,64.52906322
2.367805004,1632546215,-9,64,4,64.75337829
2.399055004,1632546215,-8,65,4,65.61249881
2.555315018,1632546215,-7,63,2,63.41923998
2.586565018,1632546215,-7,62,1,62.40192305
2.742824793,1632546215,-7,63,3,63.45864795
2.774074793,1632546215,-9,63,3,63.71028174
2.805324793,1632546215,-9,63,3,63.71028174
2.836574793,1632546215,-7,63,4,63.51377803
2.867824793,1632546215,-8,63,4,63.63175308
2.899084806,1632546215,-8,63,3,63.5767253
2.930334806,1632546215,-10,63,4,63.91400473
2.961584806,1632546215,-10,63,5,63.98437309
2.992834806,1632546215,-9,63,3,63.71028174
3.024084806,1632546216,-8,64,3,64.56779383
3.055334806,1632546216,-12,64,1,65.12296062
3.086584806,1632546216,-17,64,1,66.22688276
3.11784482,1632546216,-14,63,3,64.60650122
3.14909482,1632546216,-11,63,6,64.23394741
3.30534482,1632546216,-13,63,3,64.39720491
3.336604834,1632546216,-25,67,-10,72.20803279
3.367854834,1632546216,-14,64,7,65.88626564
3.399104834,1632546216,-5,66,4,66.3098786
3.430354834,1632546216,-5,64,6,64.47480128
3.461604834,1632546216,-14,63,4,64.66065264
3.492854834,1632546216,-11,61,7,62.3778807
3.524104834,1632546216,-10,61,7,62.20932406
3.649114847,1632546216,-7,65,6,65.65059025
3.680364847,1632546216,-9,65,4,65.74191966
3.711614847,1632546216,-5,66,4,66.3098786
3.742864847,1632546216,-6,65,4,65.39877675
3.774124861,1632546216,-7,64,4,64.50581369
3.805374861,1632546216,-8,61,5,61.72519745
3.836624861,1632546216,-8,61,5,61.72519745
3.867874861,1632546216,-8,61,4,61.65225057
3.899124861,1632546216,-9,62,4,62.77738446
4.055384874,1632546217,-6,63,7,63.67102952
4.086634874,1632546217,-5,63,7,63.58458933
4.117884874,1632546217,-4,73,4,73.21885003
4.149134874,1632546217,9,53,14,55.55177765
4.180394888,1632546217,-14,64,5,65.70388116
4.211644888,1632546217,-9,62,4,62.77738446
4.242894888,1632546217,-11,63,3,64.02343321
4.274144888,1632546217,-13,63,0,64.32728814
4.399154902,1632546217,-9,64,2,64.66065264
4.430404902,1632546217,-7,64,3,64.45153218
4.461654902,1632546217,-4,64,6,64.40496875
4.492904902,1632546217,-4,64,6,64.40496875
4.524154902,1632546217,-5,65,5,65.38348415
4.555404902,1632546217,-5,65,4,65.31462317
4.586654902,1632546217,-6,63,1,63.29296959
4.617914915,1632546217,-7,63,0,63.38769597
4.649164915,1632546217,-7,63,0,63.38769597
4.774164915,1632546217,-9,63,-1,63.64746656
4.805414915,1632546217,-7,63,0,63.38769597
4.836674929,1632546217,-6,64,2,64.31174076
4.992924929,1632546217,-11,64,3,65.00769185
5.024174929,1632546218,-12,64,1,65.12296062
5.055434942,1632546218,-12,63,1,64.14047084
5.086684942,1632546218,-11,63,1,63.96092557
