SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
0.463042021,1631771546,-57,-24,-18,64.41273166
0.650552034,1631771547,-58,-23,-18,64.93843238
0.838052034,1631771547,-57,-23,-18,64.04685785
1.025562048,1631771547,-57,-22,-18,63.69458376
1.181822062,1631771547,-56,-22,-18,62.80127387
1.213072062,1631771547,-56,-22,-17,62.52199613
1.400582075,1631771547,-58,-22,-19,64.87680633
1.588092089,1631771548,-58,-22,-19,64.87680633
1.775602102,1631771548,-56,-21,-20,63.0634601
1.931852102,1631771548,-57,-24,-23,65.98484675
1.963112116,1631771548,-58,-23,-21,65.83312236
2.119362116,1631771548,-58,-19,-21,64.54455825
2.150612116,1631771548,-58,-21,-20,64.84597135
2.181872129,1631771548,-58,-22,-19,64.87680633
2.213122129,1631771548,-62,-20,-18,67.58698099
2.244372129,1631771548,-61,-20,-17,66.40783086
2.275622129,1631771548,-61,-20,-17,66.40783086
2.306872129,1631771548,-60,-21,-18,66.06814664
2.338122129,1631771548,-60,-21,-19,66.34756966
2.369382143,1631771548,-56,-22,-19,63.09516622
2.400632143,1631771548,-53,-21,-20,60.41522987
2.431882143,1631771548,-53,-21,-19,60.09159675
2.463132143,1631771548,-55,-20,-20,61.84658438
2.494382143,1631771548,-56,-20,-20,62.73754857
2.525632143,1631771548,-57,-20,-17,62.75348596
2.556882143,1631771549,-60,-22,-16,65.87867637
2.588142157,1631771549,-63,-22,-16,68.62215386
2.619392157,1631771549,-62,-23,-14,67.59437846
2.650642157,1631771549,-57,-23,-16,63.51377803
2.681892157,1631771549,-56,-23,-17,62.88083969
2.713142157,1631771549,-56,-23,-16,62.61788882
2.869401932,1631771549,-58,-22,-12,63.182276
2.900651932,1631771549,-58,-22,-14,63.59245238
2.931901932,1631771549,-58,-21,-17,63.98437309
2.963151932,1631771549,-62,-21,-18,67.88961629
2.994401932,1631771549,-60,-22,-15,65.64297373
3.025661945,1631771549,-54,-22,-11,59.3380148
3.056911945,1631771549,-55,-22,-11,60.24948133
3.088161945,1631771549,-59,-27,-13,66.17401303
3.244421959,1631771549,-56,-31,-12,65.12296062
3.275671959,1631771549,-52,-34,-16,64.15605973
3.306921959,1631771549,-52,-35,-18,65.21502894
3.338171959,1631771549,-49,-36,-15,62.62587325
3.369421959,1631771549,-44,-36,-15,58.79625838
3.400671959,1631771549,-44,-35,-15,58.1893461
3.431921959,1631771549,-48,-34,-14,60.46486583
3.463181973,1631771549,-50,-33,-14,61.52235366
3.650681973,1631771550,-49,-43,-19,67.90434449
3.681941986,1631771550,-48,-41,-18,65.64297373
3.713191986,1631771550,-48,-41,-18,65.64297373
3.744441986,1631771550,-44,-40,-20,62.73754857
3.775691986,1631771550,-42,-41,-22,62.68173578
3.806941986,1631771550,-44,-43,-23,65.68104749
3.838191986,1631771550,-41,-44,-21,63.70243323
3.869441986,1631771550,-41,-42,-21,62.3377895
3.900702,1631771550,-50,-39,-23,67.45368782
3.931952,1631771550,-45,-43,-19,65.07687761
3.963202,1631771550,-42,-45,-19,64.42049363
3.994452,1631771550,-44,-46,-23,67.68308504
4.025702,1631771550,-46,-46,-23,69.0
4.181962013,1631771550,-37,-47,-16,61.91930232
4.213212013,1631771550,-38,-47,-15,62.27358991
4.244462013,1631771550,-46,-45,-21,67.690472
4.275712013,1631771550,-49,-43,-21,68.4908753
4.306962013,1631771550,-42,-45,-17,63.85922016
4.338222027,1631771550,-40,-46,-15,62.77738446
4.369472027,1631771550,-39,-47,-11,62.05642594
4.400722027,1631771550,-40,-48,-12,63.62389488
4.58823204,1631771551,-45,-44,-15,64.69930448
4.61948204,1631771551,-49,-43,-15,66.8954408
4.65073204,1631771551,-40,-44,-11,60.47313453
4.68198204,1631771551,-40,-45,-12,61.39218191
4.71323204,1631771551,-41,-44,-11,61.13918547
4.744492054,1631771551,-46,-43,-12,64.10148204
4.775742054,1631771551,-50,-42,-14,66.78323143
4.806992054,1631771551,-48,-41,-12,64.25729531
4.838242054,1631771551,-46,-42,-11,63.2534584
4.869492054,1631771551,-45,-43,-11,63.20601237
4.900742054,1631771551,-44,-44,-14,63.78087488
4.931992054,1631771551,-52,-43,-19,70.09992867
4.963252068,1631771551,-45,-39,-13,60.95079983
4.994502068,1631771551,-42,-36,-10,56.21387729
5.025752068,1631771551,-47,-38,-13,61.82232606
5.057002068,1631771551,-50,-39,-14,64.93843238
5.088252068,1631771551,-49,-41,-13,65.19969325
5.119502068,1631771551,-48,-40,-12,63.62389488
5.150752068,1631771551,-48,-40,-13,63.82005954
5.182012081,1631771551,-49,-40,-16,65.24568951
5.213262081,1631771551,-51,-40,-19,67.54257916
5.244512081,1631771551,-50,-40,-18,66.51315659
5.275762081,1631771551,-46,-39,-13,61.69278726
5.307012081,1631771551,-47,-40,-13,63.07138812
5.338262081,1631771551,-46,-40,-12,62.12889827
5.369512081,1631771551,-54,-40,-16,69.07966416
5.400772095,1631771551,-58,-40,-18,72.71863585
5.432022095,1631771551,-51,-39,-16,66.16645676
5.463272095,1631771551,-46,-39,-14,61.91122677
5.494522095,1631771551,-41,-41,-13,59.42221807
5.525772095,1631771551,-46,-40,-16,63.02380503
5.557022095,1631771552,-49,-39,-16,64.63745044
5.588272095,1631771552,-50,-38,-15,64.56779383
