SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
1.468124866,1636350997,14,53,-34,64.50581369
1.624374866,1636350997,112,127,127,211.6648294
1.65563488,1636350997,18,6,68,70.59745038
1.84313488,1636350997,45,46,-9,64.97691898
2.030644894,1636350997,40,55,15,69.64194139
2.218154907,1636350997,38,51,12,64.7224845
2.405664682,1636350998,39,42,19,60.38211656
2.593174696,1636350998,40,48,13,63.82005954
2.624424696,1636350998,46,47,11,66.67833231
2.655674696,1636350998,51,47,9,69.93568474
2.686924696,1636350998,53,43,5,68.43244844
2.718174696,1636350998,51,40,5,65.00769185
2.74943471,1636350998,51,35,14,63.41923998
2.78068471,1636350998,48,31,21,60.87692502
2.968194723,1636350998,9,-3,45,45.98912915
2.999444723,1636350998,-42,-33,54,75.95393341
3.030694723,1636350998,9,-5,84,84.62860037
3.061944723,1636350998,23,5,78,81.47392221
3.093194723,1636350998,18,24,53,60.90155991
3.124444723,1636350998,32,23,53,66.0454389
3.155694723,1636350998,20,13,58,62.71363488
3.186954737,1636350998,23,14,60,65.76473219
3.218204737,1636350998,21,10,54,58.79625838
3.249454737,1636350998,41,7,74,84.88816172
3.280704737,1636350998,49,0,88,100.7223908
3.311954737,1636350999,14,-2,80,81.24038405
3.343204737,1636350999,8,-8,66,66.96267617
3.374454737,1636350999,-13,-4,39,41.30375286
3.40571475,1636350999,3,12,7,14.2126704
3.43696475,1636350999,32,18,17,40.45985665
3.46821475,1636350999,31,27,-11,42.55584566
3.49946475,1636350999,51,30,-18,61.84658438
3.53071475,1636350999,83,30,-9,88.71302046
3.56196475,1636350999,104,28,6,107.8702925
3.59321475,1636350999,119,17,1,120.2123122
3.624474764,1636350999,102,23,10,105.0380883
3.655724764,1636350999,40,12,17,45.08880127
3.686974764,1636350999,27,16,14,34.36568055
3.718224764,1636350999,-5,14,-4,15.39480432
3.749474764,1636350999,22,23,4,32.07802986
3.780724764,1636350999,76,15,19,79.76214641
3.811974764,1636350999,127,-4,33,131.2783303
3.843234777,1636350999,97,-16,32,103.3876201
3.874484777,1636350999,13,-19,36,42.73172124
3.905734777,1636350999,18,-8,29,35.05709629
3.936984777,1636350999,19,8,26,33.18132005
3.968234777,1636350999,39,23,19,49.10193479
3.999484777,1636350999,76,23,19,81.64557551
4.030744791,1636350999,83,21,13,86.59676668
4.061994791,1636350999,57,8,12,58.79625838
4.093244791,1636350999,35,4,15,38.28837944
4.124494791,1636350999,66,-7,30,72.83543094
4.155744791,1636350999,66,-11,31,73.74279626
4.186994791,1636350999,57,-10,30,65.18435395
4.218244791,1636350999,58,-12,40,71.47027354
4.249504805,1636350999,54,-13,43,70.24243732
4.280754805,1636350999,42,-12,42,60.59702963
4.312004805,1636351000,31,-10,47,57.18391382
4.343254805,1636351000,31,-10,50,59.67411499
4.374504805,1636351000,32,-11,50,60.37383539
4.405754805,1636351000,37,-13,55,67.5499815
4.437004805,1636351000,35,-15,57,68.54925237
4.468264818,1636351000,24,-16,55,62.10475022
4.655764818,1636351000,26,-18,53,61.7170965
4.687024832,1636351000,31,-23,56,68.01470429
4.718274832,1636351000,29,-18,58,67.29784543
4.749524832,1636351000,28,-20,58,67.4388612
4.780774832,1636351000,26,-23,60,69.3181073
4.812024832,1636351000,26,-22,61,69.8641539
