SGTime,UnixTime,ST
-0.106626987457275,1632814495.61346,28.79
1.14343285560608,1632814496.86352,28.77
1.3934428691864,1632814497.11353,28.77
1.64345288276672,1632814497.36354,28.77
1.89347290992737,1632814497.61356,28.77
3.89356303215027,1632814499.61365,28.79
5.14362287521362,1632814500.86371,28.83
5.39363288879395,1632814501.11372,28.83
5.64364290237427,1632814501.36373,28.83
5.89365291595459,1632814501.61374,28.83
7.14371299743652,1632814502.8638,28.79
7.39372301101685,1632814503.11381,28.79
7.64373302459717,1632814503.36382,28.79
7.89374303817749,1632814503.61383,28.79
8.14375305175781,1632814503.86384,28.81
8.39377284049988,1632814504.11386,28.81
8.6437828540802,1632814504.36387,28.81
8.89379286766052,1632814504.61388,28.81
9.14380288124084,1632814504.86389,28.81
9.39381289482117,1632814505.1139,28.81
9.64382290840149,1632814505.36391,28.81
9.89384293556213,1632814505.61393,28.81
11.6439230442047,1632814507.36401,28.81
11.893933057785,1632814507.61402,28.81
13.1439929008484,1632814508.86408,28.81
13.3940029144287,1632814509.11409,28.81
13.644012928009,1632814509.3641,28.81
13.8940229415894,1632814509.61411,28.81
14.1440329551697,1632814509.86412,28.81
14.39404296875,1632814510.11413,28.81
14.6440629959106,1632814510.36415,28.81
14.894073009491,1632814510.61416,28.81
15.1440830230713,1632814510.86417,28.81
15.3940930366516,1632814511.11418,28.81
15.6441030502319,1632814511.36419,28.81
15.8941130638123,1632814511.6142,28.81
16.1441328525543,1632814511.86422,28.83
16.3941428661346,1632814512.11423,28.83
16.644152879715,1632814512.36424,28.83
16.8941628932953,1632814512.61425,28.83
17.1441729068756,1632814512.86426,28.83
17.3941829204559,1632814513.11427,28.83
17.6441929340363,1632814513.36428,28.83
17.8942129611969,1632814513.6143,28.83
18.1442229747772,1632814513.86431,28.81
18.3942329883575,1632814514.11432,28.81
18.6442430019379,1632814514.36433,28.81
18.8942530155182,1632814514.61434,28.81
19.1442630290985,1632814514.86435,28.83
19.3942830562592,1632814515.11437,28.83
19.6442928314209,1632814515.36438,28.83
19.8943028450012,1632814515.61439,28.83
20.1443128585815,1632814515.8644,28.83
20.3943228721619,1632814516.11441,28.83
20.6443328857422,1632814516.36442,28.83
20.8943529129028,1632814516.61444,28.83
21.1443629264832,1632814516.86445,28.81
21.3943729400635,1632814517.11446,28.81
