SGTime,UnixTime,GSR
0.673213720321655,1632897223.362,0.5894123
0.923213720321655,1632897223.612,0.8098012
1.17321372032166,1632897223.862,0.7088429
1.42321372032166,1632897224.112,0.1232747
1.67321372032166,1632897224.362,0.1873412
1.92321372032166,1632897224.612,0.48461
2.17321372032166,1632897224.862,1.17781
2.42321372032166,1632897225.112,0.9369889
3.92321372032166,1632897226.612,0.5960858
4.17321372032166,1632897226.862,0.5960858
4.42321372032166,1632897227.112,0.6012111
4.67321372032166,1632897227.362,0.5871165
4.92321372032166,1632897227.612,0.5576459
5.17321372032166,1632897227.862,0.5397072
5.42321372032166,1632897228.112,0.5320193
5.67321372032166,1632897228.362,0.5268939
5.92321372032166,1632897228.612,0.5217686
6.17321372032166,1632897228.862,0.5140806
6.42321372032166,1632897229.112,0.3680089
6.67321372032166,1632897229.362,0.492298
6.92321372032166,1632897229.612,0.50383
7.17321372032166,1632897229.862,0.5192059
7.42321372032166,1632897230.112,0.492298
7.67321372032166,1632897230.362,0.4756407
7.92321372032166,1632897230.612,0.3346943
8.17321372032166,1632897230.862,0.6076178
8.42321372032166,1632897231.112,0.5576459
8.67321372032166,1632897231.362,0.0
8.92321372032166,1632897231.612,0.1089131
9.17321372032166,1632897231.862,0.1537597
9.42321372032166,1632897232.112,0.2075756
9.67321372032166,1632897232.362,0.6086322
9.92321372032166,1632897232.612,0.5445657
11.1732137203217,1632897233.862,0.3049568
11.4232137203217,1632897234.112,0.6278522
11.6732137203217,1632897234.362,0.6188829
11.9232137203217,1632897234.612,0.6188829
12.1732137203217,1632897234.862,0.6022256
12.4232137203217,1632897235.112,0.6047882
12.6732137203217,1632897235.362,0.6137576
12.9232137203217,1632897235.612,0.6099136
14.1732137203217,1632897236.862,0.6124762
14.4232137203217,1632897237.112,0.6111949
15.6732137203217,1632897238.362,0.6124762
15.9232137203217,1632897238.612,0.6124762
16.1732137203217,1632897238.862,0.6099136
16.4232137203217,1632897239.112,0.6099136
16.6732137203217,1632897239.362,0.6124762
16.9232137203217,1632897239.612,0.6086322
17.1732137203217,1632897239.862,0.6060696
17.4232137203217,1632897240.112,0.6047882
18.6732137203217,1632897241.362,0.6445095
18.9232137203217,1632897241.612,0.6637295
19.1732137203217,1632897241.862,0.6867934
19.4232137203217,1632897242.112,0.1066173
19.6732137203217,1632897242.362,0.5345819
19.9232137203217,1632897242.612,0.4295128
20.1732137203217,1632897242.862,0.4871727
20.4232137203217,1632897243.112,0.515362
20.6732137203217,1632897243.362,0.5127993
20.9232137203217,1632897243.612,0.496142
21.1732137203217,1632897243.862,0.07842807
21.4232137203217,1632897244.112,0.3846662
21.6732137203217,1632897244.362,0.5691779
21.9232137203217,1632897244.612,0.5589272
22.1732137203217,1632897244.862,0.5602086
22.4232137203217,1632897245.112,0.2936917
22.6732137203217,1632897245.362,0.5461139
22.9232137203217,1632897245.612,0.5281753
23.1732137203217,1632897245.862,0.5614899
23.4232137203217,1632897246.112,0.5666152
23.6732137203217,1632897246.362,0.02461216
23.9232137203217,1632897246.612,0.4036193
24.1732137203217,1632897246.862,0.7149827
24.4232137203217,1632897247.112,0.2129678
24.6732137203217,1632897247.362,0.5051113
24.9232137203217,1632897247.612,0.5063927
25.1732137203217,1632897247.862,0.515362
25.4232137203217,1632897248.112,0.5461139
25.6732137203217,1632897248.362,0.3372569
25.9232137203217,1632897248.612,0.5256126
26.1732137203217,1632897248.862,0.5140806
26.4232137203217,1632897249.112,0.5333006
26.6732137203217,1632897249.362,0.5409886
26.9232137203217,1632897249.612,0.5115179
27.1732137203217,1632897249.862,0.4974233
27.4232137203217,1632897250.112,0.507674
27.6732137203217,1632897250.362,0.5217686
27.9232137203217,1632897250.612,0.50383
29.1732137203217,1632897251.862,0.4705154
29.4232137203217,1632897252.112,0.4602647
29.6732137203217,1632897252.362,0.5345819
29.9232137203217,1632897252.612,0.5294566
30.1732137203217,1632897252.862,0.4935793
30.4232137203217,1632897253.112,0.5576459
30.6732137203217,1632897253.362,0.5704592
30.9232137203217,1632897253.612,0.5448326
31.1732137203217,1632897253.862,0.5819912
31.4232137203217,1632897254.112,0.5845538
31.6732137203217,1632897254.362,0.5832725
31.9232137203217,1632897254.612,0.5743032
32.1732137203217,1632897254.862,0.5627712
32.4232137203217,1632897255.112,0.5448326
32.6732137203217,1632897255.362,0.5025486
32.9232137203217,1632897255.612,0.515362
33.1732137203217,1632897255.862,0.5602086
33.4232137203217,1632897256.112,0.1655586
33.6732137203217,1632897256.362,0.5089553
33.9232137203217,1632897256.612,0.6844977
35.1732137203217,1632897257.862,0.6499017
35.4232137203217,1632897258.112,1.09068
35.6732137203217,1632897258.362,0.5064617
35.9232137203217,1632897258.612,0.5513083
36.1732137203217,1632897258.862,0.5064617
36.4232137203217,1632897259.112,0.4757098
36.6732137203217,1632897259.362,0.4436765
36.9232137203217,1632897259.612,0.674247
37.1732137203217,1632897259.862,0.5127993
37.4232137203217,1632897260.112,0.693467
37.6732137203217,1632897260.362,0.685779
37.9232137203217,1632897260.612,0.6358071
38.1732137203217,1632897260.862,0.7190936
38.4232137203217,1632897261.112,0.6729657
38.6732137203217,1632897261.362,0.5755845
38.9232137203217,1632897261.612,0.5589272
39.1732137203217,1632897261.862,0.5602086
39.4232137203217,1632897262.112,0.5819912
39.6732137203217,1632897262.362,0.6024925
39.9232137203217,1632897262.612,0.6076178
41.1732137203217,1632897263.862,0.5653338
41.4232137203217,1632897264.112,0.5563645
41.6732137203217,1632897264.362,0.5589272
41.9232137203217,1632897264.612,0.5550832
42.1732137203217,1632897264.862,0.5525206
42.4232137203217,1632897265.112,0.5448326
42.6732137203217,1632897265.362,0.5499579
42.9232137203217,1632897265.612,0.5473952
43.1732137203217,1632897265.862,0.5486766
43.4232137203217,1632897266.112,0.4833287
43.6732137203217,1632897266.362,0.5192059
43.9232137203217,1632897266.612,0.5397072
44.1732137203217,1632897266.862,0.5371446
44.4232137203217,1632897267.112,0.2347504
45.6732137203217,1632897268.362,0.3052237
45.9232137203217,1632897268.612,0.3372569
47.1732137203217,1632897269.862,0.4500141
47.4232137203217,1632897270.112,0.04511346
47.6732137203217,1632897270.362,0.0
47.9232137203217,1632897270.612,0.1025065
48.1732137203217,1632897270.862,0.178105
48.4232137203217,1632897271.112,0.4817804
48.6732137203217,1632897271.362,0.6765428
48.9232137203217,1632897271.612,0.5896792
49.1732137203217,1632897271.862,0.5486766
49.4232137203217,1632897272.112,0.5473952
49.6732137203217,1632897272.362,0.5473952
49.9232137203217,1632897272.612,0.5550832
50.1732137203217,1632897272.862,0.5435513
50.4232137203217,1632897273.112,0.5384259
51.6732137203217,1632897274.362,0.5345819
51.9232137203217,1632897274.612,0.5307379
52.6732137203217,1632897275.362,0.5294566
52.9232137203217,1632897275.612,0.5294566
53.1732137203217,1632897275.862,0.5268939
53.4232137203217,1632897276.112,0.5025486
54.6732137203217,1632897277.362,0.5602086
54.9232137203217,1632897277.612,0.5832725
55.1732137203217,1632897277.862,0.6127431
55.4232137203217,1632897278.112,0.6127431
55.6732137203217,1632897278.362,0.50383
55.9232137203217,1632897278.612,0.6153058
56.1732137203217,1632897278.862,0.5755845
56.4232137203217,1632897279.112,0.6229938
56.6732137203217,1632897279.362,0.5883978
56.9232137203217,1632897279.612,0.1732466
57.1732137203217,1632897279.862,0.006673526
57.4232137203217,1632897280.112,0.5778803
57.6732137203217,1632897280.362,0.6304148
57.9232137203217,1632897280.612,0.6624481
59.1732137203217,1632897281.862,0.5102366
59.4232137203217,1632897282.112,0.5140806
59.6732137203217,1632897282.362,0.5102366
59.9232137203217,1632897282.612,0.5051113
60.1732137203217,1632897282.862,0.515362
60.4232137203217,1632897283.112,0.5192059
60.6732137203217,1632897283.362,0.507674
60.9232137203217,1632897283.612,0.50383
62.1732137203217,1632897284.862,0.5051113
62.4232137203217,1632897285.112,0.507674
62.6732137203217,1632897285.362,0.5089553
62.9232137203217,1632897285.612,0.5166433
63.1732137203217,1632897285.862,0.5166433
63.4232137203217,1632897286.112,0.5204873
