SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
-0.198046207,1632897222,-16,8,40,43.8178046
-0.166796207,1632897223,-19,7,43,47.52893855
-0.135536194,1632897223,-38,12,48,62.38589584
-0.104286194,1632897223,-44,13,54,70.85901495
-0.073036194,1632897223,-48,19,73,89.40917179
-0.041786194,1632897223,-57,22,78,99.08077513
0.08322382,1632897223,-28,10,58,65.17668295
0.11447382,1632897223,-32,8,63,71.11258679
0.14572382,1632897223,-44,9,49,66.46803743
0.301983833,1632897223,-30,-1,60,67.08949247
0.333233833,1632897223,-9,-10,50,51.77837386
0.364483833,1632897223,-1,-12,46,47.54997371
0.395733833,1632897223,23,-15,33,42.93017587
0.426983833,1632897223,40,-33,20,55.57877293
0.458233833,1632897223,44,-50,22,70.14271167
0.489483833,1632897223,31,-39,44,66.46803743
0.520743847,1632897223,-13,-21,70,74.22937424
0.551993847,1632897223,-9,-26,69,74.28324172
0.583243847,1632897223,1,-33,45,55.81218505
0.614493847,1632897223,2,-31,5,31.46426545
0.645743847,1632897223,25,-25,71,79.3158244
0.676993847,1632897223,-13,-22,46,52.62128847
0.708243847,1632897223,5,-25,39,46.59399103
0.739503622,1632897223,6,-24,32,40.44749683
0.770753622,1632897223,23,-17,37,46.7653718
0.802003622,1632897223,-8,-17,25,31.27299154
0.833253622,1632897224,4,-4,45,45.35416188
0.864503622,1632897224,11,-2,61,62.01612693
0.895753622,1632897224,-32,5,70,77.12976079
0.927013636,1632897224,-30,12,87,92.80624979
0.958263636,1632897224,-25,4,84,87.73254812
0.989513636,1632897224,-23,7,63,67.43144667
1.020763636,1632897224,-19,9,68,71.1758386
1.052013636,1632897224,-4,9,64,64.75337829
1.083263636,1632897224,-17,8,55,58.12056435
1.270773649,1632897224,-60,31,49,83.43860018
1.302023649,1632897224,-39,34,61,79.98749902
1.333273649,1632897224,-28,27,47,61.00819617
1.364533663,1632897224,-36,26,21,49.12229636
1.395783663,1632897224,-26,33,19,46.10856753
1.427033663,1632897224,-25,38,14,47.59201614
1.458283663,1632897224,-37,52,12,64.93843238
1.489533663,1632897224,-23,59,18,65.83312236
1.520783663,1632897224,-4,63,42,75.82216035
1.552033663,1632897224,-7,73,78,107.0607304
1.583293676,1632897224,-35,69,59,97.29850975
1.614543676,1632897224,-52,79,14,95.60857702
1.645793676,1632897224,-51,74,6,90.07219327
1.770793676,1632897224,-34,77,10,84.76437931
1.80205369,1632897224,-18,71,22,76.47875522
1.83330369,1632897225,-14,68,21,72.53275122
1.86455369,1632897225,-1,61,49,78.24960064
1.89580369,1632897225,-3,52,57,77.21398837
1.92705369,1632897225,-8,45,60,75.42545989
1.95830369,1632897225,-7,40,43,59.14389233
1.98955369,1632897225,3,38,45,58.97457079
2.020813704,1632897225,-11,28,31,43.19722213
