SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
1.513368368,1636445017,-33,-14,-59,69.03622238
1.544618368,1636445017,-32,-13,-56,65.7951366
1.575868368,1636445017,-35,-13,-54,65.65059025
1.607128382,1636445017,-24,-16,-62,68.38128399
1.638378382,1636445017,-23,-15,-57,63.26926584
1.669628382,1636445017,-20,-15,-58,63.1585307
1.825888395,1636445017,-28,-17,-55,64.01562309
1.857138395,1636445017,-22,-17,-60,66.12866247
2.013388395,1636445017,-46,9,-28,54.59853478
2.044648409,1636445017,-43,-10,-54,69.74955197
2.075898409,1636445017,-43,-6,-48,64.7224845
2.107148409,1636445017,-28,-19,-55,64.57553716
2.138398409,1636445017,-28,-17,-46,56.47123161
2.169648409,1636445017,-50,-11,-40,64.96922348
2.200898409,1636445017,-51,-12,-44,68.41783393
2.232148409,1636445017,-45,-13,-36,59.07622195
2.388408422,1636445018,-49,-15,-43,66.8954408
2.419658422,1636445018,-49,-15,-35,62.05642594
2.544668436,1636445018,-50,-12,-38,63.93746945
2.575918436,1636445018,-49,-13,-38,63.35613625
2.607168436,1636445018,-54,-13,-35,65.65059025
2.76342845,1636445018,-56,-9,-24,61.58733636
2.79467845,1636445018,-55,-7,-26,61.23724357
2.82592845,1636445018,-56,-15,-44,72.78049189
2.85717845,1636445018,-42,-18,-41,61.39218191
2.88842845,1636445018,-45,-16,-40,62.29767251
2.919688463,1636445018,-44,-19,-39,61.78996682
2.950938463,1636445018,-33,-18,-32,49.36598019
2.982188463,1636445018,-54,-12,-32,63.90618123
3.013438463,1636445018,-54,-23,-46,74.57211275
3.044688463,1636445018,-44,-20,-28,55.85696018
3.075938463,1636445018,-42,-6,-4,42.61455151
3.107188463,1636445018,-46,26,27,59.3380148
3.138448238,1636445018,-63,-6,-14,64.81512169
3.169698238,1636445018,-66,-8,-64,92.28217596
3.325948238,1636445019,-26,5,-62,67.41661516
3.357208252,1636445019,-46,1,-59,74.81978348
3.482208252,1636445019,-21,0,-61,64.51356447
3.513458252,1636445019,-25,0,-63,67.77905281
3.544708252,1636445019,-28,5,-57,63.70243323
3.575968266,1636445019,-36,5,-48,60.20797289
3.607218266,1636445019,-36,2,-51,62.45798588
3.638468266,1636445019,-40,3,-44,59.53990259
3.669718266,1636445019,-41,5,-46,61.82232606
3.700968266,1636445019,-34,1,-50,60.47313453
3.732218266,1636445019,-36,-3,-52,63.31666447
3.888478279,1636445019,-46,-10,-54,71.63797875
3.919728279,1636445019,-42,-10,-55,69.92138443
3.950978279,1636445019,-43,-9,-45,62.88879073
3.982228279,1636445019,-39,-11,-33,52.25897052
4.013488293,1636445019,-65,-10,-35,74.49832213
4.044738293,1636445019,-60,-9,-12,61.84658438
4.075988293,1636445019,-60,-11,-18,63.60031446
4.107238293,1636445019,-63,-15,-25,69.41901757
4.263498306,1636445019,-65,-23,-24,73.00684899
4.294748306,1636445020,-67,-29,-26,77.49838708
4.41975832,1636445020,-52,-30,-15,61.87891402
4.45100832,1636445020,-47,-28,2,54.74486277
4.48225832,1636445020,-51,-29,4,58.80476171
4.638518333,1636445020,-60,-42,-32,79.92496481
4.669768333,1636445020,-71,-39,-24,84.48668534
4.701018333,1636445020,-44,-40,-8,60.0
4.732268333,1636445020,-39,-39,-7,55.5967625
4.763518333,1636445020,-40,-36,-12,55.13619501
4.794768333,1636445020,-35,-38,-12,53.03772242
