SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
1.759066105,1636445249,-20,59,-5,62.49799997
1.946576118,1636445250,-23,63,-2,67.09694479
2.134085894,1636445250,-22,61,-3,64.91532947
2.321595907,1636445250,-21,60,-3,63.63961031
2.509105921,1636445250,-24,61,-4,65.67343451
2.665355921,1636445250,-23,60,-1,64.26507605
2.696615934,1636445250,-23,60,-3,64.32728814
2.727865934,1636445250,-22,60,-4,64.03124237
2.759115934,1636445250,-22,60,-4,64.03124237
2.790365934,1636445250,-22,60,-4,64.03124237
2.821615934,1636445250,-23,60,-3,64.32728814
2.852865934,1636445250,-22,60,-3,63.97655821
2.884115934,1636445251,-21,61,-2,64.54455825
2.915375948,1636445251,-20,60,-1,63.2534584
2.946625948,1636445251,-20,61,-1,64.20280368
2.977875948,1636445251,-21,60,-1,63.5767253
3.009125948,1636445251,-21,60,-2,63.60031446
3.040375948,1636445251,-21,61,-2,64.54455825
3.071625948,1636445251,-21,60,-2,63.60031446
3.259135962,1636445251,-21,61,-2,64.54455825
3.446645975,1636445251,-22,60,-3,63.97655821
3.571655989,1636445251,-21,60,-2,63.60031446
3.602905989,1636445251,-21,60,-2,63.60031446
3.634155989,1636445251,-22,60,-2,63.93746945
3.665405989,1636445251,-22,60,-2,63.93746945
3.696655989,1636445251,-23,61,-3,65.2610144
3.727905989,1636445251,-23,61,-3,65.2610144
3.759155989,1636445251,-23,61,-2,65.22269544
3.790416002,1636445251,-22,60,-2,63.93746945
3.821666002,1636445251,-21,60,-1,63.5767253
3.977926016,1636445252,-22,61,-2,64.87680633
4.009176016,1636445252,-22,62,-3,65.8559033
4.040426016,1636445252,-23,62,-2,66.15889963
4.071676016,1636445252,-24,63,-2,67.44627492
4.102926016,1636445252,-26,63,-2,68.18357573
4.134176016,1636445252,-27,64,-2,69.49100661
4.165426016,1636445252,-33,66,-5,73.95944835
4.196686029,1636445252,-34,64,-6,72.71863585
4.352936029,1636445252,-34,46,-14,58.88972746
4.384186029,1636445252,-35,42,-13,56.19608527
4.415446043,1636445252,-24,28,-17,40.60788101
4.446696043,1636445252,-35,27,-27,51.79768335
4.477946043,1636445252,-40,26,-28,55.31726674
4.509196043,1636445252,-41,30,-26,57.07013229
4.540446043,1636445252,-39,31,-25,55.74047004
4.571696043,1636445252,-41,37,-18,58.08614293
4.602946043,1636445252,-48,41,-15,64.88451279
4.634206057,1636445252,-50,43,-13,67.21606951
4.665456057,1636445252,-49,40,-9,63.89053138
4.696706057,1636445252,-47,38,-11,61.43289021
4.727956057,1636445252,-46,32,-17,58.55766389
4.759206057,1636445252,-51,32,-19,63.13477647
4.91546607,1636445253,-52,35,-23,66.76825593
4.94671607,1636445253,-60,41,-23,76.223356
5.071726084,1636445253,-45,39,-5,59.75784467
5.102976084,1636445253,-43,39,-6,58.36094585
5.134226084,1636445253,-44,38,-6,58.44655678
5.165476084,1636445253,-48,41,-5,63.3245608
5.196726084,1636445253,-50,41,-7,65.03845017
5.227976084,1636445253,-54,43,-9,69.61321714
5.259226084,1636445253,-56,46,-9,73.02739212
5.290486097,1636445253,-58,45,-8,73.84443107
5.321736097,1636445253,-50,41,-6,64.93843238
5.352986097,1636445253,-48,40,-6,62.76941931
5.384236097,1636445253,-48,40,-6,62.76941931
5.415486097,1636445253,-48,39,-7,62.24146528
5.446736097,1636445253,-47,39,-7,61.47357156
5.477986097,1636445253,-46,39,-4,60.44005295
5.509246111,1636445253,-47,40,-4,61.84658438
5.540496111,1636445253,-48,41,-6,63.41135545
5.571746111,1636445253,-49,42,-7,64.91532947
5.602996111,1636445253,-48,41,-7,63.51377803
5.634246111,1636445253,-49,41,-8,64.38944013
5.665496111,1636445253,-51,41,-8,65.9241989
5.696746111,1636445253,-54,40,-8,67.67569726
5.790506124,1636445253,-50,40,-8,64.52906322
5.821756124,1636445253,-48,39,-8,62.36184731
5.853006124,1636445253,-47,40,-9,62.36986452
5.884256124,1636445254,-48,41,-9,63.76519427
5.915506124,1636445254,-49,42,-9,65.16133823
5.9467659,1636445254,-50,43,-9,66.55824517
5.9780159,1636445254,-50,43,-9,66.55824517
6.0092659,1636445254,-48,42,-7,64.16385275
