SGTime,UnixTime,GSR,Unnamed: 3,Unnamed: 4
0.043797731,1631513807,1.575618,,
0.293797731,1631513807,1.593547,,
1.543797731,1631513808,1.580741,,
1.793797731,1631513808,1.597389,,
2.043797731,1631513809,1.61916,,
2.293797731,1631513809,1.637089,,
2.543797731,1631513809,1.643492,,
2.793797731,1631513809,1.644773,,
3.043797731,1631513810,1.644773,,
3.293797731,1631513810,1.653737,,
4.543797731,1631513811,1.648615,,
4.793797731,1631513811,1.647334,,
5.793797731,1631513812,1.635808,,
6.043797731,1631513813,1.634528,,
6.293797731,1631513813,1.657579,,
7.543797731,1631513814,1.680631,,
7.793797731,1631513814,1.67935,,
9.293797731,1631513816,1.692156,,
10.54379773,1631513817,1.703682,,
10.79379773,1631513817,1.712647,,
12.04379773,1631513819,1.697279,,
12.29379773,1631513819,1.69984,,
13.54379773,1631513820,1.669105,,
13.79379773,1631513820,1.667824,,
15.04379773,1631513822,1.717769,,
15.29379773,1631513822,1.73954,,
16.54379773,1631513823,1.715208,,
16.79379773,1631513823,1.702402,,
18.04379773,1631513825,1.754908,,
18.29379773,1631513825,1.785643,,
19.54379773,1631513826,2.592643,,
19.79379773,1631513826,1.951104,,
21.04379773,1631513828,1.589905,,
21.29379773,1631513828,1.586063,,
22.04379773,1631513829,1.564292,,
22.29379773,1631513829,1.592466,,
22.54379773,1631513829,1.609114,,
22.79379773,1631513829,1.606553,,
24.29379773,1631513831,1.577098,,
25.54379773,1631513832,1.651375,,
25.79379773,1631513832,1.656498,,
27.29379773,1631513834,1.647533,,
28.54379773,1631513835,1.643691,,
28.79379773,1631513835,1.636008,,
30.04379773,1631513837,1.609114,,
30.29379773,1631513837,1.62064,,
31.54379773,1631513838,1.60015,,
31.79379773,1631513838,1.592466,,
33.04379773,1631513840,1.579659,,
33.29379773,1631513840,1.578379,,
34.54379773,1631513841,1.559169,,
34.79379773,1631513841,1.551486,,
36.04379773,1631513843,1.533557,,
36.29379773,1631513843,1.534837,,1.417037241
37.54379773,1631513844,1.505383,,
37.79379773,1631513844,1.50026,,
38.79379773,1631513845,1.474647,,
39.04379773,1631513846,1.466963,,
39.29379773,1631513846,1.461841,,
40.54379773,1631513847,1.479571,,
40.79379773,1631513847,1.473167,,
41.79379773,1631513848,1.460361,,
42.04379773,1631513849,1.456519,,
42.29379773,1631513849,1.461642,,
43.79379773,1631513850,1.423223,,
45.04379773,1631513852,1.443713,,
45.29379773,1631513852,1.444993,,
46.54379773,1631513853,1.416819,,
46.79379773,1631513853,1.416819,,
48.04379773,1631513855,1.393768,,
48.29379773,1631513855,1.401452,,
49.04379773,1631513856,1.402732,,
49.29379773,1631513856,1.37712,,
49.54379773,1631513856,1.338701,,
49.79379773,1631513856,1.350226,,
