SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
0.470454454,1631600906,34,-41,3,53.34791467
0.501704454,1631600906,34,-39,1,51.74939613
0.532964468,1631600906,28,-48,-4,55.71355311
0.564214468,1631600906,27,-51,-5,57.92236183
0.595464468,1631600906,28,-57,-5,63.70243323
0.626714468,1631600906,28,-61,-6,67.38694236
0.782974482,1631600906,31,-52,1,60.54750201
0.814224482,1631600906,8,-72,-19,74.89325737
0.845474482,1631600906,8,-54,-15,56.61271942
0.876724482,1631600906,7,-49,-15,51.72040216
0.907974482,1631600906,8,-53,-11,54.71745608
0.939224482,1631600906,11,-64,1,64.94613152
0.970484495,1631600906,9,-68,2,68.62215386
1.001734495,1631600906,11,-64,1,64.94613152
1.126734495,1631600907,13,-60,0,61.39218191
1.157984495,1631600907,15,-61,0,62.8171951
1.189244509,1631600907,17,-61,-1,63.33245613
1.345494509,1631600907,14,-62,1,63.5688603
1.376744509,1631600907,15,-61,2,62.84902545
1.408004522,1631600907,15,-61,2,62.84902545
1.439254522,1631600907,15,-61,2,62.84902545
1.470504522,1631600907,16,-59,2,61.16371473
1.501754522,1631600907,17,-59,3,61.47357156
1.533004522,1631600907,16,-57,2,59.23681288
1.564254522,1631600907,16,-58,2,60.19966777
1.595504522,1631600907,16,-60,3,62.16912417
1.626764536,1631600907,16,-60,3,62.16912417
1.658014536,1631600907,18,-63,3,65.58963333
1.689264536,1631600907,19,-65,5,67.90434449
1.720514536,1631600907,19,-64,5,66.94774081
1.751764536,1631600907,19,-63,4,65.9241989
1.908024549,1631600907,13,-61,2,62.40192305
1.939274549,1631600907,12,-61,2,62.20128616
2.095534563,1631600908,12,-61,3,62.24146528
2.126784563,1631600908,11,-61,2,62.01612693
2.158034563,1631600908,11,-61,3,62.05642594
2.189284563,1631600908,10,-61,3,61.88699379
2.220534563,1631600908,11,-61,3,62.05642594
2.251784563,1631600908,11,-61,3,62.05642594
2.283044577,1631600908,11,-61,4,62.11280061
2.314294577,1631600908,11,-62,4,63.09516622
2.501804352,1631600908,11,-62,5,63.16644679
2.533054352,1631600908,11,-61,5,62.18520724
2.564304352,1631600908,11,-61,4,62.11280061
2.595554352,1631600908,12,-62,4,63.27716808
2.626804352,1631600908,12,-62,4,63.27716808
2.658054352,1631600908,12,-61,4,62.29767251
2.689314365,1631600908,12,-62,4,63.27716808
2.845564365,1631600908,11,-62,4,63.09516622
2.876814365,1631600908,11,-62,4,63.09516622
3.033074379,1631600909,12,-61,4,62.29767251
3.064324379,1631600909,12,-61,4,62.29767251
3.095574379,1631600909,12,-61,4,62.29767251
3.126834393,1631600909,12,-61,4,62.29767251
3.158084393,1631600909,12,-62,5,63.34824386
3.189334393,1631600909,12,-61,5,62.36986452
3.220584393,1631600909,12,-60,5,61.39218191
3.251834393,1631600909,11,-61,4,62.11280061
3.283084393,1631600909,11,-62,4,63.09516622
3.314334393,1631600909,11,-62,4,63.09516622
3.345594406,1631600909,12,-61,4,62.29767251
3.376844406,1631600909,12,-61,4,62.29767251
3.408094406,1631600909,12,-61,5,62.36986452
3.439344406,1631600909,12,-62,5,63.34824386
3.59560442,1631600909,11,-61,5,62.18520724
3.62685442,1631600909,11,-62,5,63.16644679
3.783114433,1631600909,11,-62,4,63.09516622
3.814364433,1631600909,12,-62,4,63.27716808
3.845614433,1631600909,12,-61,4,62.29767251
3.876864433,1631600909,12,-62,4,63.27716808
3.908114433,1631600909,12,-61,4,62.29767251
3.939364433,1631600909,12,-61,4,62.29767251
3.970614433,1631600909,11,-61,4,62.11280061
4.001874447,1631600909,12,-61,4,62.29767251
4.033124447,1631600910,12,-61,5,62.36986452
4.064374447,1631600910,12,-61,5,62.36986452
4.095624447,1631600910,12,-62,5,63.34824386
4.126874447,1631600910,11,-62,5,63.16644679
4.158124447,1631600910,11,-61,5,62.18520724
4.189374447,1631600910,12,-61,5,62.36986452
4.22063446,1631600910,12,-61,5,62.36986452
4.25188446,1631600910,12,-61,5,62.36986452
4.28313446,1631600910,12,-62,4,63.27716808
4.31438446,1631600910,12,-62,4,63.27716808
4.34563446,1631600910,12,-62,4,63.27716808
4.37688446,1631600910,12,-61,4,62.29767251
4.40813446,1631600910,12,-61,4,62.29767251
4.439394474,1631600910,12,-62,4,63.27716808
4.470644474,1631600910,12,-62,4,63.27716808
4.501894474,1631600910,12,-61,4,62.29767251
4.533144474,1631600910,12,-62,5,63.34824386
4.564394474,1631600910,12,-62,5,63.34824386
4.720654488,1631600910,12,-62,5,63.34824386
4.751904488,1631600910,12,-62,5,63.34824386
4.783154488,1631600910,12,-62,5,63.34824386
4.814404488,1631600910,11,-61,5,62.18520724
4.845664501,1631600910,11,-61,5,62.18520724
4.876914501,1631600910,10,-61,5,62.01612693
4.908164501,1631600910,11,-61,5,62.18520724
4.939414501,1631600910,11,-61,4,62.11280061
4.970664501,1631600910,11,-61,4,62.11280061
5.001914501,1631600910,11,-61,4,62.11280061
5.033164501,1631600911,11,-62,4,63.09516622
5.064424515,1631600911,11,-61,4,62.11280061
5.095674515,1631600911,11,-61,4,62.11280061
5.126924515,1631600911,12,-61,4,62.29767251
5.283184528,1631600911,12,-62,5,63.34824386
5.314434528,1631600911,12,-62,5,63.34824386
5.345684528,1631600911,12,-62,5,63.34824386
5.376934528,1631600911,12,-62,4,63.27716808
5.408184528,1631600911,12,-62,5,63.34824386
5.439434528,1631600911,11,-62,4,63.09516622
5.470684528,1631600911,11,-62,5,63.16644679
5.501944542,1631600911,11,-62,4,63.09516622
5.626944542,1631600911,12,-62,4,63.27716808
5.658194542,1631600911,11,-61,4,62.11280061
5.689444542,1631600911,11,-62,4,63.09516622
5.720704556,1631600911,11,-61,4,62.11280061
5.751954556,1631600911,11,-61,4,62.11280061
5.783204556,1631600911,11,-61,4,62.11280061
5.814454556,1631600911,11,-61,4,62.11280061
5.845704556,1631600911,11,-61,3,62.05642594
5.876954556,1631600911,12,-61,3,62.24146528
6.033214569,1631600912,12,-61,4,62.29767251
6.064464569,1631600912,12,-63,4,64.25729531
6.095714569,1631600912,12,-63,4,64.25729531
6.126964569,1631600912,12,-63,4,64.25729531
6.158224344,1631600912,12,-63,4,64.25729531
6.189474344,1631600912,12,-63,4,64.25729531
6.220724344,1631600912,12,-63,4,64.25729531
6.251974344,1631600912,12,-62,4,63.27716808
6.408234358,1631600912,11,-62,3,63.03967005
6.439484358,1631600912,11,-61,3,62.05642594
6.470734358,1631600912,11,-61,3,62.05642594
6.501984358,1631600912,10,-61,3,61.88699379
6.533234358,1631600912,10,-61,3,61.88699379
6.564484358,1631600912,11,-60,3,61.07372594
6.595744371,1631600912,12,-60,3,61.26173357
6.626994371,1631600912,12,-60,4,61.31883887
6.751994371,1631600912,12,-64,4,65.23802572
6.783244371,1631600912,12,-63,4,64.25729531
6.814504385,1631600912,11,-63,5,64.14826576
6.845754385,1631600912,11,-63,6,64.23394741
6.877004385,1631600912,10,-63,5,63.98437309
6.908254385,1631600912,10,-63,5,63.98437309
6.939504385,1631600912,11,-63,5,64.14826576
6.970754385,1631600912,11,-65,5,66.1135387
7.002004385,1631600912,11,-64,4,65.06150936
7.033264399,1631600913,10,-59,4,59.97499479
7.064514399,1631600913,9,-59,4,59.81638571
7.095764399,1631600913,9,-59,3,59.75784467
7.127014399,1631600913,9,-59,2,59.71599451
7.158264399,1631600913,9,-63,0,63.63961031
7.189514399,1631600913,11,-68,-1,68.8912186
7.345774412,1631600913,27,-57,-2,63.10309026
7.377024412,1631600913,21,-60,-4,63.69458376
7.408274412,1631600913,26,-53,-4,59.16924877
7.439524412,1631600913,22,-53,-8,57.93962375
7.470784426,1631600913,22,-58,-9,62.68173578
7.502034426,1631600913,28,-55,-8,62.23343153
7.533284426,1631600913,31,-55,-10,63.92182726
7.564534426,1631600913,32,-54,-13,64.10148204
7.720794439,1631600913,53,-42,-36,76.6093989
7.752044439,1631600913,38,-45,-36,69.02897942
7.908304453,1631600913,5,-44,-33,55.22680509
7.939554453,1631600913,16,-44,-38,60.29925373
7.970804453,1631600913,14,-43,-40,60.37383539
8.002054453,1631600913,14,-42,-49,66.03786792
8.033304453,1631600914,15,-43,-58,73.74279626
