SGTime,UnixTime,GSR,Unnamed: 3,Unnamed: 4
301.66326,1631518914,0.7957104,,
301.91326,1631518914,1.624184,,
302.16326,1631518914,2.104522,,
302.41326,1631518914,2.592643,,
302.66326,1631518915,3.094713,,
302.91326,1631518915,3.119176,,
303.16326,1631518915,2.914274,,
303.41326,1631518915,3.001357,,
303.66326,1631518916,3.052583,,
303.91326,1631518916,2.491663,,
304.16326,1631518916,2.314935,,
304.41326,1631518916,2.618316,,
304.66326,1631518917,2.796325,,
304.91326,1631518917,2.532513,,
305.16326,1631518917,1.889634,,
305.41326,1631518917,2.46458,,
305.66326,1631518918,2.499217,,
305.91326,1631518918,2.80657,,
306.16326,1631518918,2.654174,,
306.41326,1631518918,2.515865,,
306.66326,1631518919,2.602948,,
306.91326,1631518919,2.72717,,
307.16326,1631518919,2.718206,,
307.41326,1631518919,2.615755,,
307.66326,1631518920,2.691312,,
307.91326,1631518920,2.882127,,
308.16326,1631518920,2.859076,,
308.41326,1631518920,2.874444,,
308.66326,1631518921,3.094713,,
308.91326,1631518921,3.106369,,
309.16326,1631518921,3.253643,,
309.41326,1631518921,3.353532,,
309.66326,1631518922,3.052583,,
309.91326,1631518922,3.199856,,
310.16326,1631518922,2.740107,,
310.41326,1631518922,3.144788,,
310.66326,1631518923,3.312552,,
310.91326,1631518923,3.59045,,
311.16326,1631518923,3.318145,,
311.41326,1631518923,2.848151,,
311.66326,1631518924,2.281639,,
311.91326,1631518924,1.785902,,
312.16326,1631518924,2.500437,,
312.41326,1631518924,3.094713,,
312.66326,1631518925,3.025689,,
312.91326,1631518925,3.326639,,
313.16326,1631518925,2.747791,,
313.41326,1631518925,2.281639,,
313.66326,1631518926,3.094713,,
313.91326,1631518926,2.955254,,
314.16326,1631518926,2.512154,,
314.41326,1631518926,2.736265,,
315.66326,1631518928,2.541478,,
315.91326,1631518928,2.30456,,
316.16326,1631518928,1.869143,,
316.41326,1631518928,1.653937,,
316.66326,1631518929,2.396706,,
316.91326,1631518929,2.502999,,
317.16326,1631518929,2.36475,,
317.41326,1631518929,2.181619,,
317.66326,1631518930,2.613194,,
317.91326,1631518930,2.449272,,
318.16326,1631518930,2.759186,,
318.41326,1631518930,2.058678,,
318.66326,1631518931,2.007452,,
318.91326,1631518931,1.908843,,
319.16326,1631518931,1.648814,,
319.41326,1631518931,1.285113,,
319.66326,1631518932,2.104522,,
319.91326,1631518932,2.509402,,
320.16326,1631518932,2.176496,,
320.41326,1631518932,2.034346,,
321.91326,1631518934,2.84755,,
322.16326,1631518934,2.704119,,
322.41326,1631518934,2.659297,,
322.66326,1631518935,2.334015,,
322.91326,1631518935,2.176496,,
323.16326,1631518935,2.248212,,
323.41326,1631518935,2.036907,,
324.66326,1631518937,2.381398,,
324.91326,1631518937,2.305841,,
326.41326,1631518938,2.009953,,
326.66326,1631518939,1.433667,,
326.91326,1631518939,0.9852447,,
327.16326,1631518939,1.240091,,
327.41326,1631518939,0.7957104,,
327.66326,1631518940,1.626745,,
327.91326,1631518940,2.104522,,
328.16326,1631518940,2.592643,,
328.41326,1631518940,3.094713,,
328.66326,1631518941,3.226749,,
328.91326,1631518941,3.181927,,
329.16326,1631518941,3.297184,,
329.41326,1631518941,3.320236,,
329.66326,1631518942,3.455983,,
329.91326,1631518942,3.581956,,
330.16326,1631518942,3.585798,,
330.41326,1631518942,3.624217,,
330.66326,1631518943,3.663917,,
330.91326,1631518943,3.684407,,
332.16326,1631518944,3.351441,,2.545018057
332.41326,1631518944,2.780277,,
332.66326,1631518945,2.281639,,
332.91326,1631518945,1.785902,,
333.16326,1631518945,1.404212,,
333.41326,1631518945,2.104522,,
333.66326,1631518946,2.592643,,
333.91326,1631518946,1.785902,,
334.16326,1631518946,1.283832,,
334.41326,1631518946,0.7969911,,
334.66326,1631518947,1.490997,,
334.91326,1631518947,1.80101,,
335.16326,1631518947,1.729295,,
335.41326,1631518947,1.012138,,
335.66326,1631518948,0.9839641,,
335.91326,1631518948,0.7969911,,
336.16326,1631518948,1.626745,,
336.41326,1631518948,2.104522,,
336.66326,1631518949,2.355726,,
336.91326,1631518949,2.486351,,
337.16326,1631518949,2.44543,,
337.41326,1631518949,2.012575,,
337.66326,1631518950,1.787183,,
337.91326,1631518950,1.532276,,
338.16326,1631518950,1.335058,,
338.41326,1631518950,0.8097975,,
338.66326,1631518951,0.3192144,,
338.91326,1631518951,1.188698,,
339.16326,1631518951,1.626745,,
339.41326,1631518951,2.104522,,
339.66326,1631518952,2.592643,,
339.91326,1631518952,3.071662,,
340.16326,1631518952,3.160156,,
340.41326,1631518952,2.281639,,
340.66326,1631518953,3.072942,,
340.91326,1631518953,3.080756,,
341.16326,1631518953,3.035934,,
341.41326,1631518953,3.131982,,
342.91326,1631518955,2.708091,,
344.16326,1631518956,2.925799,,
344.41326,1631518956,2.688882,,
344.66326,1631518957,2.682478,,
344.91326,1631518957,2.281639,,
345.16326,1631518957,1.785902,,
345.41326,1631518957,1.283832,,
345.66326,1631518958,2.104522,,
345.91326,1631518958,2.592643,,
346.16326,1631518958,3.029401,,
346.41326,1631518958,3.233152,,
346.66326,1631518959,3.239556,,
346.91326,1631518959,3.22803,,
347.16326,1631518959,3.194733,,
347.41326,1631518959,3.20754,,
347.66326,1631518960,3.212662,,
347.91326,1631518960,3.221627,,
348.16326,1631518960,3.261326,,
348.41326,1631518960,3.324078,,
348.66326,1631518961,3.231872,,
348.91326,1631518961,3.14735,,
349.16326,1631518961,3.274133,,
349.41326,1631518961,2.576185,,
349.66326,1631518962,3.58917,,
349.91326,1631518962,3.345038,,
