SGTime,UnixTime,GSR
-0.368235111236572,1636952084.016,0.1653116
0.881764888763428,1636952085.266,0.1640301
1.13176488876343,1636952085.516,0.1640301
2.38176488876343,1636952086.766,0.179408
2.63176488876343,1636952087.016,0.1806894
3.88176488876343,1636952088.266,0.1435264
4.13176488876343,1636952088.516,0.1435264
4.38176488876343,1636952088.766,0.1448078
4.63176488876343,1636952089.016,0.1448078
4.88176488876343,1636952089.266,0.1422449
5.13176488876343,1636952089.516,0.1448078
5.38176488876343,1636952089.766,0.1435264
5.63176488876343,1636952090.016,0.1460893
6.88176488876343,1636952091.266,0.1422449
7.13176488876343,1636952091.516,0.1460893
7.38176488876343,1636952091.766,0.1435264
7.63176488876343,1636952092.016,0.1448078
7.88176488876343,1636952092.266,0.1473708
8.13176488876343,1636952092.516,0.1448078
8.38176488876343,1636952092.766,0.1473708
8.63176488876343,1636952093.016,0.1435264
9.88176488876343,1636952094.266,0.1499338
10.1317648887634,1636952094.516,0.1499338
10.3817648887634,1636952094.766,0.1537782
10.6317648887634,1636952095.016,0.1524968
10.8817648887634,1636952095.266,0.1550597
11.1317648887634,1636952095.516,0.1589042
11.3817648887634,1636952095.766,0.1563412
11.6317648887634,1636952096.016,0.1589042
13.1317648887634,1636952097.516,0.4485199
14.3817648887634,1636952098.766,0.1999117
14.6317648887634,1636952099.016,0.2140081
15.8817648887634,1636952100.266,0.2178525
16.1317648887634,1636952100.516,0.2178525
17.3817648887634,1636952101.766,0.2114451
17.6317648887634,1636952102.016,0.2152895
18.8817648887634,1636952103.266,0.2076006
19.1317648887634,1636952103.516,0.2037562
20.3817648887634,1636952104.766,0.1986302
20.6317648887634,1636952105.016,0.1999117
21.8817648887634,1636952106.266,0.1973487
22.1317648887634,1636952106.516,0.1960673
23.1317648887634,1636952107.516,0.1999117
23.3817648887634,1636952107.766,0.2037562
23.6317648887634,1636952108.016,0.2050377
23.8817648887634,1636952108.266,0.2024747
24.1317648887634,1636952108.516,0.2037562
24.3817648887634,1636952108.766,0.2076006
24.6317648887634,1636952109.016,0.2076006
24.8817648887634,1636952109.266,0.2319489
25.1317648887634,1636952109.516,0.2332303
26.6317648887634,1636952111.016,0.2255414
28.1317648887634,1636952112.516,0.2037562
28.3817648887634,1636952112.766,0.2063191
28.6317648887634,1636952113.016,0.1550597
28.8817648887634,1636952113.266,0.0
29.1317648887634,1636952113.516,0.0
29.3817648887634,1636952113.766,0.0
29.6317648887634,1636952114.016,0.0
29.8817648887634,1636952114.266,0.1371189
