SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
1.904752493,1636611632,52,-7,-35,63.07138812
2.092262506,1636611632,51,-7,-35,62.24949799
2.27977252,1636611632,51,-8,-35,62.36986452
2.467282534,1636611632,51,-7,-36,62.8171951
2.654792547,1636611633,53,-7,-35,63.89835679
2.842302561,1636611633,49,-4,-37,61.53048025
2.873552561,1636611633,52,-4,-35,62.80923499
2.904802561,1636611633,54,-3,-36,64.96922348
2.936052561,1636611633,53,-4,-37,64.76109943
2.967302561,1636611633,52,-4,-36,63.37191807
2.998552561,1636611633,51,-5,-35,62.05642594
3.029802561,1636611633,51,-5,-35,62.05642594
3.154812574,1636611633,51,-5,-35,62.05642594
3.186062574,1636611633,52,-5,-35,62.88083969
3.217312574,1636611633,51,-5,-36,62.62587325
3.34232235,1636611633,52,-5,-39,65.19202405
3.37357235,1636611633,51,-4,-39,64.32728814
3.40482235,1636611633,52,-3,-39,65.06919394
3.529832363,1636611634,63,14,-45,78.67655305
3.561082363,1636611634,66,34,-43,85.79627032
3.592332363,1636611634,69,44,-45,93.39164845
3.748592377,1636611634,43,7,-37,57.15767665
3.779842377,1636611634,58,5,-14,59.87486952
3.811092377,1636611634,69,4,-8,69.57729515
3.842342377,1636611634,40,-3,-10,41.34005322
3.873592377,1636611634,39,0,-7,39.62322551
3.90485239,1636611634,4,2,-24,24.41311123
3.93610239,1636611634,58,1,-7,58.42944463
3.96735239,1636611634,62,-2,-5,62.23343153
4.123612404,1636611634,66,12,-11,67.9779376
4.154862404,1636611634,64,11,-5,65.13063795
4.186112404,1636611634,60,15,-12,63.0
4.217362404,1636611634,61,17,-15,65.07687761
4.248612404,1636611634,65,19,-19,70.33491309
4.279862404,1636611634,56,23,-23,64.76109943
4.311112404,1636611634,52,22,-18,59.26212956
4.342372417,1636611634,55,15,-9,57.71481612
4.498622417,1636611635,56,16,-2,58.27520914
4.529872417,1636611635,53,16,-4,55.50675635
4.561132431,1636611635,55,20,-11,59.54829972
4.592382431,1636611635,62,19,-12,65.94694838
4.623632431,1636611635,64,17,-8,66.70082458
4.654882431,1636611635,61,21,-7,64.89221833
4.686132431,1636611635,51,3,0,51.0881591
