SGTime,UnixTime,ST
0.7716224193573,1636611630.79632,31.85
1.02164244651794,1636611631.04634,31.85
1.27165246009827,1636611631.29635,31.85
1.52166247367859,1636611631.54636,31.85
2.77172255516052,1636611632.79642,31.83
3.02173256874084,1636611633.04643,31.83
3.27174234390259,1636611633.29644,31.83
3.52175235748291,1636611633.54645,31.83
3.77176237106323,1636611633.79646,31.85
4.02178239822388,1636611634.04648,31.85
4.2717924118042,1636611634.29649,31.85
4.52180242538452,1636611634.5465,31.85
4.77181243896484,1636611634.79651,31.83
5.02182245254517,1636611635.04652,31.83
5.27183246612549,1636611635.29653,31.83
5.52185249328613,1636611635.54655,31.83
5.77186250686646,1636611635.79656,31.85
6.02187252044678,1636611636.04657,31.85
6.2718825340271,1636611636.29658,31.85
6.52189254760742,1636611636.54659,31.85
6.77190256118774,1636611636.7966,31.81
7.02191257476807,1636611637.04661,31.81
7.27193236351013,1636611637.29663,31.81
7.52194237709045,1636611637.54664,31.81
9.52203249931335,1636611639.54673,31.83
10.7720923423767,1636611640.79679,31.83
11.022102355957,1636611641.0468,31.83
11.2721123695374,1636611641.29681,31.83
11.5221223831177,1636611641.54682,31.83
12.7721824645996,1636611642.79688,31.81
13.0221924781799,1636611643.04689,31.81
13.2722024917603,1636611643.2969,31.81
13.5222225189209,1636611643.54692,31.81
14.7722723484039,1636611644.79697,31.85
15.0222823619843,1636611645.04698,31.85
15.2723023891449,1636611645.297,31.85
15.5223124027252,1636611645.54701,31.85
16.7723724842072,1636611646.79707,31.83
17.0223824977875,1636611647.04708,31.83
17.2723925113678,1636611647.29709,31.83
17.5224025249481,1636611647.5471,31.83
17.7724125385284,1636611647.79711,31.85
18.0224225521088,1636611648.04712,31.85
18.2724423408508,1636611648.29714,31.85
18.5224523544312,1636611648.54715,31.85
18.7724623680115,1636611648.79716,31.83
19.0224723815918,1636611649.04717,31.83
19.2724823951721,1636611649.29718,31.83
19.5224924087524,1636611649.54719,31.83
19.7725024223328,1636611649.7972,31.83
20.0225224494934,1636611650.04722,31.83
20.2725324630737,1636611650.29723,31.83
20.5225424766541,1636611650.54724,31.83
20.7725524902344,1636611650.79725,31.83
21.0225625038147,1636611651.04726,31.83
21.272572517395,1636611651.29727,31.83
21.5225925445557,1636611651.54729,31.83
21.772602558136,1636611651.7973,31.83
22.0226125717163,1636611652.04731,31.83
22.2726223468781,1636611652.29732,31.83
22.5226323604584,1636611652.54733,31.83
22.7726423740387,1636611652.79734,31.83
23.0226624011993,1636611653.04736,31.83
23.2726724147797,1636611653.29737,31.83
23.52268242836,1636611653.54738,31.83
24.7727425098419,1636611654.79744,31.83
25.0227525234222,1636611655.04745,31.83
25.2727625370026,1636611655.29746,31.83
25.5227725505829,1636611655.54747,31.83
25.7727825641632,1636611655.79748,31.83
26.022792339325,1636611656.04749,31.83
26.2728123664856,1636611656.29751,31.83
26.5228223800659,1636611656.54752,31.83
26.7728323936462,1636611656.79753,31.85
27.0228424072266,1636611657.04754,31.85
27.2728524208069,1636611657.29755,31.85
27.5228624343872,1636611657.54756,31.85
28.7729225158691,1636611658.79762,31.83
29.0229325294495,1636611659.04763,31.83
29.2729425430298,1636611659.29764,31.83
29.5229625701904,1636611659.54766,31.83
30.7730123996735,1636611660.79771,31.81
31.0230324268341,1636611661.04773,31.81
31.2730424404144,1636611661.29774,31.81
31.5230524539948,1636611661.54775,31.81
33.5231425762177,1636611663.54784,31.85
33.7731523513794,1636611663.79785,31.83
34.0231623649597,1636611664.04786,31.83
34.2731823921204,1636611664.29788,31.83
34.5231924057007,1636611664.54789,31.83
34.773202419281,1636611664.7979,31.83
35.0232124328613,1636611665.04791,31.83
35.2732224464417,1636611665.29792,31.83
35.523232460022,1636611665.54793,31.83
36.7732925415039,1636611666.79799,31.81
37.0233025550842,1636611667.048,31.81
37.2733125686646,1636611667.29801,31.81
37.5233323574066,1636611667.54803,31.81
38.7733824253082,1636611668.79808,31.81
39.0234024524689,1636611669.0481,31.81
39.2734124660492,1636611669.29811,31.81
39.5234224796295,1636611669.54812,31.81
39.7734324932098,1636611669.79813,31.81
40.0234425067902,1636611670.04814,31.81
