SGTime,UnixTime,ST
-0.797955989837646,1636435103.59548,29.13
-0.547945976257324,1636435103.84549,29.13
-0.297935962677002,1636435104.0955,29.13
-0.0479259490966797,1636435104.34551,29.13
0.202084064483643,1636435104.59552,29.15
0.452094078063965,1636435104.84553,29.15
0.702104091644287,1636435105.09554,29.15
0.952124118804932,1636435105.34556,29.15
1.20213413238525,1636435105.59557,29.13
1.45214414596558,1636435105.84558,29.13
1.7021541595459,1636435106.09559,29.13
1.95216393470764,1636435106.3456,29.13
2.20217394828796,1636435106.59561,29.13
2.45219397544861,1636435106.84563,29.13
2.70220398902893,1636435107.09564,29.13
2.95221400260925,1636435107.34565,29.13
4.20227408409119,1636435108.59571,29.13
4.45228409767151,1636435108.84572,29.13
4.70229411125183,1636435109.09573,29.13
4.95230412483215,1636435109.34574,29.13
5.20231413841248,1636435109.59575,29.13
5.4523241519928,1636435109.84576,29.13
5.70234394073486,1636435110.09578,29.13
5.95235395431519,1636435110.34579,29.13
6.20236396789551,1636435110.5958,29.13
6.45237398147583,1636435110.84581,29.13
6.70238399505615,1636435111.09582,29.13
6.95239400863647,1636435111.34583,29.13
7.20241403579712,1636435111.59585,29.13
7.45242404937744,1636435111.84586,29.13
7.70243406295776,1636435112.09587,29.13
7.95244407653809,1636435112.34588,29.13
8.20245409011841,1636435112.59589,29.17
8.45246410369873,1636435112.8459,29.17
8.70248413085938,1636435113.09592,29.17
8.9524941444397,1636435113.34593,29.17
9.20250415802002,1636435113.59594,29.15
9.45251393318176,1636435113.84595,29.15
9.70252394676209,1636435114.09596,29.15
9.95253396034241,1636435114.34597,29.15
10.2025439739227,1636435114.59598,29.15
10.4525640010834,1636435114.846,29.15
10.7025740146637,1636435115.09601,29.15
10.952584028244,1636435115.34602,29.15
12.202644109726,1636435116.59608,29.15
12.4526541233063,1636435116.84609,29.15
12.7026641368866,1636435117.0961,29.15
12.9526741504669,1636435117.34611,29.15
14.2027339935303,1636435118.59617,29.15
14.4527440071106,1636435118.84618,29.15
14.7027540206909,1636435119.09619,29.15
14.9527640342712,1636435119.3462,29.15
15.2027840614319,1636435119.59622,29.15
15.4527940750122,1636435119.84623,29.15
15.7028040885925,1636435120.09624,29.15
15.9528141021729,1636435120.34625,29.15
16.2028241157532,1636435120.59626,29.17
16.4528341293335,1636435120.84627,29.17
16.7028541564941,1636435121.09629,29.17
16.9528639316559,1636435121.3463,29.17
18.4529340267181,1636435122.84637,29.17
18.7029440402985,1636435123.09638,29.17
18.9529540538788,1636435123.34639,29.17
19.2029640674591,1636435123.5964,29.17
19.4529740810394,1636435123.84641,29.17
19.7029840946198,1636435124.09642,29.17
19.9530041217804,1636435124.34644,29.17
20.2030141353607,1636435124.59645,29.17
20.453024148941,1636435124.84646,29.17
20.7030341625214,1636435125.09647,29.17
20.9530439376831,1636435125.34648,29.17
21.2030539512634,1636435125.59649,29.17
21.4530739784241,1636435125.84651,29.17
21.7030839920044,1636435126.09652,29.17
21.9530940055847,1636435126.34653,29.17
22.203104019165,1636435126.59654,29.17
22.4531140327454,1636435126.84655,29.17
22.7031240463257,1636435127.09656,29.17
22.953134059906,1636435127.34657,29.17
23.2031540870667,1636435127.59659,29.15
23.453164100647,1636435127.8466,29.15
23.7031741142273,1636435128.09661,29.15
23.9531841278076,1636435128.34662,29.15
24.2031941413879,1636435128.59663,29.17
24.4532041549683,1636435128.84664,29.17
24.7032239437103,1636435129.09666,29.17
24.9532339572906,1636435129.34667,29.17
26.2032940387726,1636435130.59673,29.15
26.4533040523529,1636435130.84674,29.15
26.7033140659332,1636435131.09675,29.15
26.9533240795136,1636435131.34676,29.15
28.2033841609955,1636435132.59682,29.15
28.4533939361572,1636435132.84683,29.15
28.7034039497375,1636435133.09684,29.15
28.9534139633179,1636435133.34685,29.15
29.2034239768982,1636435133.59686,29.15
29.4534440040588,1636435133.84688,29.15
29.7034540176392,1636435134.09689,29.15
29.9534640312195,1636435134.3469,29.15
30.2034740447998,1636435134.59691,29.13
30.4534840583801,1636435134.84692,29.13
30.7034940719604,1636435135.09693,29.13
30.9535140991211,1636435135.34695,29.13
32.4535739421844,1636435136.84701,29.15
32.7035939693451,1636435137.09703,29.15
32.9536039829254,1636435137.34704,29.15
34.2036640644073,1636435138.5971,29.13
34.4536740779877,1636435138.84711,29.13
34.703684091568,1636435139.09712,29.13
34.9536941051483,1636435139.34713,29.13
35.2037041187286,1636435139.59714,29.13
35.453714132309,1636435139.84715,29.13
35.7037341594696,1636435140.09717,29.13
35.9537439346313,1636435140.34718,29.13
36.2037539482117,1636435140.59719,29.13
36.453763961792,1636435140.8472,29.13
36.7037739753723,1636435141.09721,29.13
36.9537839889526,1636435141.34722,29.13
38.9538841247559,1636435143.34732,29.13
39.2038941383362,1636435143.59733,29.15
39.4539041519165,1636435143.84734,29.15
39.7039139270782,1636435144.09735,29.15
39.9539239406586,1636435144.34736,29.15
40.2039339542389,1636435144.59737,29.13
40.4539539813995,1636435144.84739,29.13
40.7039639949799,1636435145.0974,29.13
40.9539740085602,1636435145.34741,29.13
41.2039840221405,1636435145.59742,29.15
41.4539940357208,1636435145.84743,29.15
41.7040040493011,1636435146.09744,29.15
41.9540140628815,1636435146.34745,29.15
42.2040340900421,1636435146.59747,29.13
42.4540441036224,1636435146.84748,29.13
42.7040541172028,1636435147.09749,29.13
42.9540641307831,1636435147.3475,29.13
43.9541139602661,1636435148.34755,29.13
44.2041239738464,1636435148.59756,29.15
44.4541339874268,1636435148.84757,29.15
44.7041440010071,1636435149.09758,29.15
44.9541540145874,1636435149.34759,29.15
45.2041640281677,1636435149.5976,29.13
45.4541840553284,1636435149.84762,29.13
45.7041940689087,1636435150.09763,29.13
45.954204082489,1636435150.34764,29.13
46.2042140960693,1636435150.59765,29.13
46.4542241096497,1636435150.84766,29.13
46.70423412323,1636435151.09767,29.13
