GSR_mean,GSR_std,GSR_var,GSR_max,GSR_min,GSR_peak_count,GSR_motion_energy,Temperature_mean,Temperature_std,Temperature_var,Temperature_max,Temperature_min,Temperature_peak_count,Temperature_motion_energy,Gaze_mean,Gaze_std,Gaze_var,Gaze_max,Gaze_min,Gaze_peak_count,Gaze_motion_energy,Acc_X_mean,Acc_X_std,Acc_X_var,Acc_X_max,Acc_X_min,Acc_X_peak_count,Acc_X_motion_energy,Acc_Y_mean,Acc_Y_std,Acc_Y_var,Acc_Y_max,Acc_Y_min,Acc_Y_peak_count,Acc_Y_motion_energy,Acc_Z_mean,Acc_Z_std,Acc_Z_var,Acc_Z_max,Acc_Z_min,Acc_Z_peak_count,Acc_Z_motion_energy,Acc_SVM_mean,Acc_SVM_std,Acc_SVM_var,Acc_SVM_max,Acc_SVM_min,Acc_SVM_peak_count,Acc_SVM_motion_energy,gaze_mean,gaze_std,gaze_var,gaze_max,gaze_min,gaze_peak_count,gaze_motion_energy,gaze_count,gaze_active_ratio,gaze_transition_count,reported_time_spent_seconds,session_elapsed_total_seconds,session_elapsed_mean_seconds,session_elapsed_std_seconds,session_elapsed_max_seconds,session_elapsed_min_seconds,session_elapsed_count,session_elapsed_nonzero_count,intervention_row_count,intervention_numeric_time_count,intervention_numeric_time_mean,intervention_numeric_time_std,intervention_numeric_time_min,intervention_numeric_time_max,intervention_discrete_count,intervention_no_need_count
0.47444516,0.0735242962288435,0.0054058221359467,0.5983816,0.2754861,18,0.3584076742406269,33.17823233248154,0.0208446516229412,0.0004344995012817,33.23,33.13,15,0.0204654559542582,0.95,0.2179449471770336,0.0475,1.0,0.0,1,3.0,-37.0,29.987219499869163,899.2333333333333,94.0,-128.0,20,118130.0,30.633333333333333,34.436398701890354,1185.8655555555558,75.0,-128.0,18,72202.0,13.183333333333334,30.410245897650277,924.7830555555556,127.0,-128.0,17,104665.0,68.48941435835111,28.289281613067192,800.2834541834214,221.70250336881628,16.76305461424021,19,80416.46065142656,0.9042873014835632,0.2941968352296443,0.0865517778591385,1.0,0.0,15.0,31.0,30602.0,0.9042873014835632,31.0,24.0,467.0,24.57894736842105,4.822583326550249,35.0,12.0,19.0,19.0,1.0,0.0,,0.0,,,0.0,0.0
0.4626683230833333,0.0679488495202383,0.004617046151124,0.5176577,0.1870743,9,0.0341287520454027,31.83431999251436,0.1022232580251227,0.0104495944812708,31.99,31.65397772628607,7,0.0135728001163179,,,,,,0,0.0,-38.0,12.777584539601634,163.26666666666668,-4.0,-47.0,7,2215.0,48.13333333333333,12.37398705169662,153.1155555555556,123.0,33.0,12,10746.0,14.2,15.502472921010591,240.32666666666665,102.0,-21.0,6,12215.0,66.37607302204468,10.648173403868874,113.38359683886044,132.46131510746827,54.71745608121781,16,6654.637687132657,,,,,,,,,,,,,,,,,,,,,,,,,,
0.071414771275,0.0084330450232077,7.111624836344841e-05,0.08965001,0.0464259049999999,15,0.0027016525058976,31.362345413800515,0.029030248575821,0.0008427553323739,31.429433597363385,31.33,9,0.0150342506821006,0.8500029993407334,0.357063358238505,0.1274942417965589,1.0,0.0,3,6.99956096128821,18.55,22.16861520257862,491.4475,112.0,-52.0,14,44230.0,-52.21666666666667,19.45258480396771,378.4030555555555,32.0,-128.0,16,30421.0,6.233333333333333,23.70960892877728,562.1455555555555,50.0,-128.0,16,46036.0,64.39287971984929,19.876880407105062,395.0903747183572,188.3401178718969,29.068883707497267,21,51351.957034883475,0.9686601962804317,0.1742343835825389,0.0303576204223873,1.0,0.0,12.0,25.0,18443.0,0.9686601962804317,25.0,25.0,258.0,13.578947368421051,2.814955880326925,19.0,9.0,19.0,19.0,2.0,2.0,126.02,132.22896808188435,32.52,219.52,2.0,0.0
0.5076678585,0.0581496297297582,0.0033813794377079,0.7537804,0.4400299666666666,13,0.0810979570967408,34.12566724283816,0.0130437119045857,0.0001701384202498,34.148529664758755,34.09139993782293,13,0.0158093597271948,0.7166666666666667,0.4506168611531924,0.2030555555555555,1.0,0.0,2,6.0,-27.466666666666665,36.253030524664034,1314.2822222222223,127.0,-121.0,15,120798.0,-13.35,37.674847931566575,1419.3941666666665,75.0,-128.0,18,136029.0,12.516666666666667,43.10278091054244,1857.8497222222225,79.0,-128.0,17,138741.0,69.4170946753817,29.36154458066585,862.1003001624281,221.12666053644455,13.152946437965904,18,123900.57229616784,0.8490106544901066,0.3580384938137063,0.1281915630523874,1.0,0.0,34.0,70.0,26280.0,0.8490106544901066,70.0,42.0,305.0,16.05263157894737,11.645092834945666,47.0,4.0,19.0,19.0,40.0,40.0,247.21000000000004,133.5967526090822,25.61,430.61,40.0,0.0
0.2879234271888888,0.0768663897174265,0.0059084418681912,0.3408751,0.0,13,0.2666180090653077,29.814576855789515,0.0334530687040356,0.0011191078057169,29.87,29.77,10,0.0178851900632664,0.9666666666666668,0.1795054935711501,0.0322222222222222,1.0,0.0,0,2.0,-28.175,27.454194596198334,753.732800925926,127.0,-94.0,16,79984.83333333333,19.825,47.34353787692365,2241.410578703704,127.0,-57.0,15,53923.833333333336,11.058333333333334,25.68244149075251,659.587800925926,72.0,-128.0,15,65142.833333333336,66.46115094562961,23.383639187451188,546.7945816489029,193.49935400408964,31.464265445104548,18,35185.662385800686,0.9758846492885028,0.153407302862539,0.0235338005715587,1.0,0.0,23.0,48.0,15882.0,0.9758846492885028,48.0,14.0,223.0,11.736842105263158,7.178997959040415,30.0,5.0,19.0,19.0,33.0,33.0,180.50242424242424,67.00187977914794,64.26,289.26,33.0,0.0
1.5117741191666667,0.1322299386159196,0.0174847566663698,1.809893,1.260135,11,0.4281675233089384,30.94459158647228,0.0539022619408711,0.0029054538423422,31.05,30.85,13,0.024232263457256,1.0,0.0,0.0,1.0,1.0,0,0.0,-45.35,21.73002914555493,472.1941666666667,2.0,-128.0,20,65596.0,24.2,25.42819956924464,646.5933333333334,52.0,-53.0,18,66653.0,24.983333333333334,18.348016847120626,336.6497222222222,60.0,-60.0,20,45245.0,66.93083107290512,15.560543645930458,242.13051855690676,139.08270920570968,35.05709628591621,17,29588.331449931844,0.9976689976689976,0.0482241512018116,0.0023255687591351,1.0,0.0,0.0,2.0,6006.0,0.9976689976689976,2.0,12.0,191.0,10.052631578947368,6.424550863770135,32.0,3.0,19.0,19.0,30.0,30.0,124.86,60.954561935015626,31.56,237.56,30.0,0.0
0.3979289735,0.0107151980806627,0.0001148154699078,0.4177642,0.3408751,17,0.008652290062073,31.6970966455148,0.0854053479267374,0.007294073454487,31.93,31.59,10,0.0268664344656333,,,,,,0,0.0,31.333333333333332,27.62104672568044,762.9222222222221,66.0,-51.0,18,32179.0,0.4666666666666667,31.27590481860153,978.1822222222222,38.0,-67.0,13,34927.0,32.05,21.87344280171734,478.4475000000001,83.0,-11.0,13,22582.0,64.30120187253402,9.700795727548662,94.10543774762635,103.41179816636011,23.280893453645632,17,9714.3981820957,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0222210691944444,0.0087248268412794,7.612260341030949e-05,0.04100509,0.0,20,0.0055192968292782,31.474209339161455,0.0281296357446796,0.0007912764071283,31.53,31.41,9,0.0177795557093959,0.9166666666666666,0.2763853991962833,0.0763888888888889,1.0,0.0,0,2.0,-38.53333333333333,40.994498275852685,1680.548888888889,88.0,-128.0,20,211999.0,36.46666666666667,34.68163138544027,1202.8155555555556,127.0,-28.0,16,131627.0,2.466666666666667,39.20989104238311,1537.4155555555556,77.0,-128.0,17,107458.0,78.46119625847386,32.94450912806633,1085.340681689246,188.22592807581,31.591137997862628,19,122132.23296845064,0.9624900692316424,0.1900077257958495,0.0361029358621107,1.0,0.0,4.0,10.0,17622.0,0.9624900692316424,10.0,13.0,257.0,13.526315789473683,4.350841822153904,26.0,9.0,19.0,19.0,1.0,0.0,,0.0,,,0.0,1.0
0.3188642218888889,0.0260695639241143,0.0006796221631934,0.3921109,0.2498746,15,0.0382246194978042,32.55431948291499,0.0283203403205964,0.0008020416758744,32.63,32.49,9,0.0127785598671718,0.9833333333333332,0.1280190957978101,0.0163888888888888,1.0,0.0,0,2.0,-42.45,22.70860703198973,515.6808333333333,19.0,-103.0,16,49231.0,-18.65,29.68379187368083,881.1275,57.0,-94.0,16,51180.0,13.583333333333334,27.665436719648746,765.376388888889,61.0,-39.0,19,34464.0,66.33819804112565,9.785711385640814,95.76014732306024,109.40292500660117,51.633322573702344,22,12074.025905186782,0.9815691795725072,0.1345032538114307,0.0180911252858621,1.0,0.0,3.0,8.0,15626.0,0.9815691795725072,8.0,14.0,228.0,12.0,5.849976258261415,30.0,6.0,19.0,19.0,15.0,15.0,127.24333333333333,53.87613660274922,39.51,226.51,15.0,0.0
3.620721291666667,1.4585366500049324,2.1273291594076107,5.176529,0.0,13,12.0776621734795,29.750218061850127,1.427212316433916,2.0369349961806646,33.06642897604275,27.931819045257757,4,10.748179942439954,0.9333333333333332,0.2494438257849294,0.0622222222222222,1.0,0.0,1,4.0,-24.216666666666665,36.29007746233428,1316.9697222222223,31.0,-128.0,20,74704.0,10.983333333333333,27.72573513703268,768.7163888888888,70.0,-49.0,16,49496.0,-39.36666666666667,34.764429458220015,1208.5655555555554,57.0,-115.0,13,67088.0,72.26842762969517,18.120183072976378,328.3410345981796,128.10152223919903,46.48655719667784,18,38579.942936609346,0.9344558189655172,0.2474836183810995,0.0612481413670017,1.0,0.0,29.0,60.0,37120.0,0.9344558189655172,60.0,58.0,546.0,28.73684210526316,11.159660017039338,61.0,17.0,19.0,19.0,37.0,37.0,345.39270270270276,161.4269468185506,41.69,623.69,37.0,0.0
